wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    3.00
0.44  0.60909E-06  0.51429E+00
azim,phase
0.000,148.03522
1.000,127.02464
2.000,78.21222
3.000,31.12701
4.000,5.54899
5.000,0.11728
7.500,1.66979
10.000,0.39482
12.500,0.12010
15.000,0.23733
17.500,0.03474
20.000,0.07787
25.000,0.02009
30.000,0.01578
35.000,0.01712
40.000,0.01293
50.000,0.00578
60.000,0.00446
70.000,0.00311
80.000,0.00224
90.000,0.00184
100.000,0.00163
110.000,0.00150
120.000,0.00143
130.000,0.00138
140.000,0.00136
145.000,0.00136
150.000,0.00136
155.000,0.00136
160.000,0.00135
162.500,0.00136
165.000,0.00135
167.500,0.00135
170.000,0.00136
172.500,0.00135
175.000,0.00135
176.000,0.00135
177.000,0.00135
178.000,0.00135
179.000,0.00135
180.000,0.00135
