wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =   10.00
0.44  0.65026E-05  0.52907E+00
azim,phase
0.000,1112.20679
1.000,164.85480
2.000,19.48916
3.000,2.11633
4.000,0.11585
5.000,0.57641
7.500,0.18239
10.000,0.08697
12.500,0.05247
15.000,0.03651
17.500,0.02773
20.000,0.02222
25.000,0.01562
30.000,0.01168
35.000,0.00900
40.000,0.00706
50.000,0.00448
60.000,0.00299
70.000,0.00216
80.000,0.00167
90.000,0.00137
100.000,0.00120
110.000,0.00110
120.000,0.00105
130.000,0.00102
140.000,0.00100
145.000,0.00100
150.000,0.00100
155.000,0.00099
160.000,0.00099
162.500,0.00099
165.000,0.00099
167.500,0.00099
170.000,0.00099
172.500,0.00099
175.000,0.00099
176.000,0.00099
177.000,0.00099
178.000,0.00099
179.000,0.00099
180.000,0.00099
