wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    0.10
0.44  0.17613E-09  0.42637E+00
azim,phase
0.000,0.26912
1.000,0.26905
2.000,0.26883
3.000,0.26847
4.000,0.26796
5.000,0.26731
7.500,0.26506
10.000,0.26195
12.500,0.25801
15.000,0.25328
17.500,0.24783
20.000,0.24169
25.000,0.22766
30.000,0.21176
35.000,0.19460
40.000,0.17679
50.000,0.14145
60.000,0.10948
70.000,0.08313
80.000,0.06314
90.000,0.04908
100.000,0.03982
110.000,0.03405
120.000,0.03059
130.000,0.02854
140.000,0.02731
145.000,0.02688
150.000,0.02654
155.000,0.02627
160.000,0.02606
162.500,0.02598
165.000,0.02591
167.500,0.02585
170.000,0.02580
172.500,0.02576
175.000,0.02573
176.000,0.02572
177.000,0.02572
178.000,0.02571
179.000,0.02571
180.000,0.02571
