mastrapa2008Ic
120
ne
Wavelength (microns) 	 real  imaginary
1.1111962e+00  1.3126184e+00  1.5955218e-06
1.1113154e+00  1.3126169e+00  2.6355920e-07
1.1114346e+00  1.3126147e+00  6.7286470e-07
1.1115538e+00  1.3126131e+00  1.4104870e-06
1.1116730e+00  1.3126113e+00  9.5383029e-07
1.1117923e+00  1.3126096e+00  1.8290463e-06
1.1119117e+00  1.3126082e+00  1.8479407e-06
1.1120309e+00  1.3126069e+00  2.3050172e-06
1.1121503e+00  1.3126057e+00  1.8580041e-06
1.1122696e+00  1.3126040e+00  7.3651364e-07
1.1123890e+00  1.3126019e+00  9.5771020e-07
1.1125085e+00  1.3126000e+00  5.1635755e-07
1.1126279e+00  1.3125978e+00  5.4226325e-07
1.1127474e+00  1.3125958e+00  7.6942308e-07
1.1128669e+00  1.3125942e+00  1.6483815e-06
1.1129864e+00  1.3125927e+00  9.9582485e-07
1.1131059e+00  1.3125910e+00  1.2270673e-06
1.1132255e+00  1.3125892e+00  9.1626970e-07
1.1133451e+00  1.3125874e+00  1.0435062e-06
1.1134648e+00  1.3125857e+00  9.8664532e-07
1.1135844e+00  1.3125840e+00  9.0458849e-07
1.1137041e+00  1.3125820e+00  1.9462469e-08
1.1138238e+00  1.3125799e+00  6.1420536e-07
1.1139435e+00  1.3125780e+00  4.1427512e-07
1.1140633e+00  1.3125763e+00  1.1092163e-06
1.1141831e+00  1.3125746e+00  4.1865377e-07
1.1143029e+00  1.3125725e+00  3.9774400e-07
1.1144227e+00  1.3125706e+00  6.9343537e-07
1.1145426e+00  1.3125688e+00  6.4521561e-07
1.1146625e+00  1.3125668e+00  7.5896679e-07
1.1147825e+00  1.3125648e+00  9.2955179e-07
1.1149023e+00  1.3125634e+00  1.8121781e-06
1.1150223e+00  1.3125618e+00  6.8953346e-07
1.1151423e+00  1.3125597e+00  1.3841448e-06
1.1152623e+00  1.3125581e+00  1.5320416e-06
1.1153823e+00  1.3125565e+00  1.6569051e-06
1.1155024e+00  1.3125548e+00  1.5347758e-06
1.1156225e+00  1.3125533e+00  1.6710891e-06
1.1157426e+00  1.3125514e+00  7.6374545e-07
1.1158627e+00  1.3125495e+00  1.4003248e-06
1.1159829e+00  1.3125477e+00  8.3681857e-07
1.1161031e+00  1.3125459e+00  1.3881411e-06
1.1162233e+00  1.3125442e+00  8.5146633e-07
1.1163436e+00  1.3125422e+00  9.6107885e-07
1.1164638e+00  1.3125407e+00  1.3993230e-06
1.1165841e+00  1.3125390e+00  7.9459687e-07
1.1167045e+00  1.3125368e+00  8.6407432e-08
1.1168247e+00  1.3125350e+00  1.4515552e-06
1.1169451e+00  1.3125335e+00  6.9811784e-07
1.1170655e+00  1.3125315e+00  1.0596902e-08
1.1171860e+00  1.3125291e+00  1.0598045e-08
1.1173065e+00  1.3125271e+00  9.1738247e-07
1.1174270e+00  1.3125256e+00  1.1857487e-06
1.1175475e+00  1.3125238e+00  6.1753008e-07
1.1176680e+00  1.3125221e+00  1.3622019e-06
1.1177886e+00  1.3125205e+00  5.3096244e-07
1.1179091e+00  1.3125184e+00  3.7947395e-08
1.1180298e+00  1.3125161e+00  5.9870956e-07
1.1181504e+00  1.3125143e+00  9.7749728e-07
1.1182711e+00  1.3125128e+00  1.2581568e-06
1.1183918e+00  1.3125108e+00  6.8474503e-07
1.1185125e+00  1.3125091e+00  1.1018840e-06
1.1186332e+00  1.3125072e+00  5.5215236e-07
1.1187540e+00  1.3125052e+00  1.4479785e-06
1.1188748e+00  1.3125035e+00  5.0889088e-07
1.1189955e+00  1.3125017e+00  2.1278981e-06
1.1191164e+00  1.3125002e+00  8.1645607e-07
1.1192373e+00  1.3124982e+00  1.5485006e-06
1.1193582e+00  1.3124970e+00  1.9007294e-06
1.1194791e+00  1.3124954e+00  4.5834784e-07
1.1196001e+00  1.3124930e+00  3.7156619e-07
1.1197211e+00  1.3124911e+00  6.5745110e-07
1.1198421e+00  1.3124892e+00  6.1950942e-07
1.1199630e+00  1.3124871e+00  8.8099632e-08
1.1200840e+00  1.3124850e+00  8.4407156e-07
1.1202052e+00  1.3124833e+00  9.7154214e-07
1.1203263e+00  1.3124816e+00  1.0188969e-06
1.1204475e+00  1.3124800e+00  9.3659366e-07
1.1205686e+00  1.3124779e+00  1.0630133e-08
1.1206897e+00  1.3124758e+00  6.4611424e-07
1.1208110e+00  1.3124740e+00  7.0087100e-07
1.1209322e+00  1.3124721e+00  4.6835504e-07
1.1210535e+00  1.3124697e+00  1.0808337e-07
1.1211748e+00  1.3124677e+00  1.4300739e-06
1.1212960e+00  1.3124661e+00  1.8364410e-06
1.1214175e+00  1.3124650e+00  2.4478063e-06
1.1215388e+00  1.3124636e+00  1.3290615e-06
1.1216602e+00  1.3124617e+00  1.3094361e-06
1.1217817e+00  1.3124597e+00  8.4423442e-07
1.1219031e+00  1.3124577e+00  1.0167867e-06
1.1220247e+00  1.3124559e+00  1.0743648e-06
1.1221461e+00  1.3124540e+00  9.1022360e-07
1.1222676e+00  1.3124522e+00  1.2917814e-06
1.1223892e+00  1.3124506e+00  1.1329937e-06
1.1225107e+00  1.3124486e+00  3.7764374e-07
1.1226323e+00  1.3124464e+00  4.4256171e-07
1.1227540e+00  1.3124444e+00  8.9307127e-07
1.1228756e+00  1.3124427e+00  1.2321044e-06
1.1229973e+00  1.3124410e+00  1.0530405e-06
1.1231190e+00  1.3124392e+00  1.0526645e-06
1.1232408e+00  1.3124372e+00  4.6426524e-07
1.1233625e+00  1.3124352e+00  9.1445696e-07
1.1234843e+00  1.3124332e+00  6.4879691e-07
1.1236061e+00  1.3124315e+00  1.4458177e-06
1.1237280e+00  1.3124295e+00  8.2355643e-07
1.1238499e+00  1.3124278e+00  1.2175416e-06
1.1239717e+00  1.3124259e+00  8.6013347e-07
1.1240937e+00  1.3124238e+00  1.0137760e-06
1.1242156e+00  1.3124220e+00  1.4167505e-06
1.1243376e+00  1.3124205e+00  1.6350009e-06
1.1244596e+00  1.3124187e+00  9.8670705e-07
1.1245816e+00  1.3124166e+00  1.0130246e-06
1.1247036e+00  1.3124149e+00  1.8377801e-06
1.1248258e+00  1.3124132e+00  9.9591864e-07
1.1249479e+00  1.3124113e+00  1.5568321e-06
1.1250700e+00  1.3124098e+00  1.0972707e-06
1.1251922e+00  1.3124074e+00  1.5202204e-07
1.1253144e+00  1.3124051e+00  1.0073145e-06
1.1254365e+00  1.3124034e+00  1.7359546e-06
