clapp1995
200
ne
Wavelength (microns) 	 real  imaginary
2.57991e+00  1.21787e+00  4.97000e-03
2.58055e+00  1.21757e+00  5.08000e-03
2.58119e+00  1.21730e+00  5.19000e-03
2.58184e+00  1.21704e+00  5.29000e-03
2.58248e+00  1.21681e+00  5.39000e-03
2.58312e+00  1.21659e+00  5.50000e-03
2.58377e+00  1.21639e+00  5.61000e-03
2.58441e+00  1.21622e+00  5.72000e-03
2.58506e+00  1.21606e+00  5.81000e-03
2.58570e+00  1.21590e+00  5.87000e-03
2.58635e+00  1.21574e+00  5.92000e-03
2.58699e+00  1.21557e+00  5.96000e-03
2.58764e+00  1.21538e+00  6.01000e-03
2.58829e+00  1.21518e+00  6.08000e-03
2.58893e+00  1.21498e+00  6.16000e-03
2.58958e+00  1.21478e+00  6.26000e-03
2.59023e+00  1.21460e+00  6.39000e-03
2.59087e+00  1.21444e+00  6.53000e-03
2.59152e+00  1.21431e+00  6.69000e-03
2.59217e+00  1.21421e+00  6.84000e-03
2.59282e+00  1.21414e+00  6.98000e-03
2.59347e+00  1.21411e+00  7.11000e-03
2.59412e+00  1.21412e+00  7.21000e-03
2.59477e+00  1.21414e+00  7.27000e-03
2.59542e+00  1.21417e+00  7.28000e-03
2.59607e+00  1.21418e+00  7.23000e-03
2.59672e+00  1.21416e+00  7.14000e-03
2.59737e+00  1.21411e+00  7.04000e-03
2.59802e+00  1.21404e+00  6.93000e-03
2.59867e+00  1.21393e+00  6.83000e-03
2.59932e+00  1.21380e+00  6.73000e-03
2.59997e+00  1.21365e+00  6.62000e-03
2.60063e+00  1.21347e+00  6.52000e-03
2.60128e+00  1.21326e+00  6.45000e-03
2.60193e+00  1.21305e+00  6.40000e-03
2.60259e+00  1.21283e+00  6.38000e-03
2.60324e+00  1.21262e+00  6.39000e-03
2.60390e+00  1.21243e+00  6.41000e-03
2.60455e+00  1.21226e+00  6.46000e-03
2.60520e+00  1.21212e+00  6.51000e-03
2.60586e+00  1.21201e+00  6.56000e-03
2.60652e+00  1.21193e+00  6.58000e-03
2.60717e+00  1.21187e+00  6.59000e-03
2.60783e+00  1.21182e+00  6.56000e-03
2.60848e+00  1.21178e+00  6.49000e-03
2.60914e+00  1.21174e+00  6.36000e-03
2.60980e+00  1.21165e+00  6.20000e-03
2.61046e+00  1.21152e+00  6.02000e-03
2.61111e+00  1.21135e+00  5.83000e-03
2.61177e+00  1.21113e+00  5.65000e-03
2.61243e+00  1.21089e+00  5.50000e-03
2.61309e+00  1.21062e+00  5.37000e-03
2.61375e+00  1.21034e+00  5.27000e-03
2.61441e+00  1.21006e+00  5.21000e-03
2.61507e+00  1.20980e+00  5.17000e-03
2.61573e+00  1.20956e+00  5.14000e-03
2.61639e+00  1.20933e+00  5.10000e-03
2.61705e+00  1.20912e+00  5.01000e-03
2.61771e+00  1.20889e+00  4.91000e-03
2.61837e+00  1.20863e+00  4.80000e-03
2.61903e+00  1.20834e+00  4.69000e-03
2.61970e+00  1.20802e+00  4.59000e-03
