mastrapa2008Ic
110
ne
Wavelength (microns) 	 real  imaginary
1.1111962e+00  1.3125468e+00  2.7658916e-06
1.1113154e+00  1.3125458e+00  1.8554736e-06
1.1114346e+00  1.3125441e+00  2.5285515e-06
1.1115538e+00  1.3125428e+00  2.8147520e-06
1.1116730e+00  1.3125414e+00  2.6163443e-06
1.1117923e+00  1.3125396e+00  2.0682994e-06
1.1119117e+00  1.3125378e+00  2.6443356e-06
1.1120309e+00  1.3125362e+00  2.4949982e-06
1.1121503e+00  1.3125347e+00  2.9093026e-06
1.1122696e+00  1.3125330e+00  2.0612217e-06
1.1123890e+00  1.3125314e+00  2.9851929e-06
1.1125085e+00  1.3125299e+00  1.9144527e-06
1.1126279e+00  1.3125277e+00  1.6122780e-06
1.1127474e+00  1.3125257e+00  2.0696243e-06
1.1128669e+00  1.3125241e+00  2.3460427e-06
1.1129864e+00  1.3125222e+00  1.7334673e-06
1.1131059e+00  1.3125204e+00  2.6470536e-06
1.1132255e+00  1.3125190e+00  2.2975703e-06
1.1133451e+00  1.3125173e+00  2.3655953e-06
1.1134648e+00  1.3125154e+00  1.6051739e-06
1.1135844e+00  1.3125135e+00  2.1242522e-06
1.1137041e+00  1.3125116e+00  1.7047104e-06
1.1138238e+00  1.3125098e+00  2.3444502e-06
1.1139435e+00  1.3125083e+00  2.2385652e-06
1.1140633e+00  1.3125066e+00  1.7857212e-06
1.1141831e+00  1.3125045e+00  1.5114595e-06
1.1143029e+00  1.3125026e+00  1.9727688e-06
1.1144227e+00  1.3125010e+00  1.7660021e-06
1.1145426e+00  1.3124990e+00  1.7762763e-06
1.1146625e+00  1.3124973e+00  1.9312527e-06
1.1147825e+00  1.3124954e+00  1.4549979e-06
1.1149023e+00  1.3124933e+00  1.9395916e-06
1.1150223e+00  1.3124915e+00  1.8616627e-06
1.1151423e+00  1.3124897e+00  2.0883351e-06
1.1152623e+00  1.3124880e+00  2.2217846e-06
1.1153823e+00  1.3124865e+00  2.7038898e-06
1.1155024e+00  1.3124849e+00  1.8326009e-06
1.1156225e+00  1.3124831e+00  2.2289171e-06
1.1157426e+00  1.3124812e+00  1.2863100e-06
1.1158627e+00  1.3124793e+00  1.9054639e-06
1.1159829e+00  1.3124774e+00  1.2619896e-06
1.1161031e+00  1.3124752e+00  1.4592877e-06
1.1162233e+00  1.3124733e+00  1.8169620e-06
1.1163436e+00  1.3124717e+00  2.3271680e-06
1.1164638e+00  1.3124700e+00  1.6634399e-06
1.1165841e+00  1.3124681e+00  1.8053252e-06
1.1167045e+00  1.3124663e+00  1.8905089e-06
1.1168247e+00  1.3124645e+00  1.8646722e-06
1.1169451e+00  1.3124628e+00  1.9678625e-06
1.1170655e+00  1.3124610e+00  1.4210082e-06
1.1171860e+00  1.3124588e+00  9.4217916e-07
1.1173065e+00  1.3124567e+00  2.0383507e-06
1.1174270e+00  1.3124552e+00  2.3366731e-06
1.1175475e+00  1.3124535e+00  1.6558807e-06
1.1176680e+00  1.3124517e+00  2.1878038e-06
1.1177886e+00  1.3124501e+00  1.6505129e-06
1.1179091e+00  1.3124481e+00  1.6304068e-06
1.1180298e+00  1.3124464e+00  1.3994752e-06
1.1181504e+00  1.3124442e+00  1.2516575e-06
1.1182711e+00  1.3124422e+00  1.4136864e-06
1.1183918e+00  1.3124404e+00  1.5610375e-06
1.1185125e+00  1.3124385e+00  1.4618342e-06
1.1186332e+00  1.3124365e+00  1.3999513e-06
1.1187540e+00  1.3124346e+00  1.6927766e-06
1.1188748e+00  1.3124328e+00  1.9889642e-06
1.1189955e+00  1.3124312e+00  2.2893869e-06
1.1191164e+00  1.3124294e+00  1.6180019e-06
1.1192373e+00  1.3124275e+00  2.0492016e-06
1.1193582e+00  1.3124259e+00  1.9909899e-06
1.1194791e+00  1.3124239e+00  1.1742699e-06
1.1196001e+00  1.3124217e+00  1.6773427e-06
1.1197211e+00  1.3124200e+00  2.1605956e-06
1.1198421e+00  1.3124186e+00  2.3250541e-06
1.1199630e+00  1.3124169e+00  1.3747991e-06
1.1200840e+00  1.3124148e+00  1.2827419e-06
