he2022
135
pe
wavel  k
0.25878  n  -0.00582
0.26757  n  -0.00582
0.27635  n  -0.00582
0.28513  n  -0.00582
0.29392  n  -0.00582
0.3027  n  -0.00582
0.31148  n  -0.00582
0.32027  n  -0.00582
0.32905  n  -0.00582
0.33784  n  -0.00582
0.3466199999  n  -0.00582
0.3554  n  -0.00582
0.36419  n  -0.00582
0.37297  n  -0.00582
0.3817499999  n  -0.00582
0.39054  n  -0.00582
0.39932  n  -0.00582
0.4081  n  -0.00582
0.41689  n  -0.00582
0.4256700001  n  -0.00582
0.43445  n  -0.00582
0.44324  n  -0.00582
0.4520199999  n  -0.00582
0.4608  n  -0.00582
0.4695900001  n  -0.00582
0.4783700001  n  -0.00582
0.4871499999  n  -0.00582
0.4959400001  n  -0.00582
0.5047200001  n  -0.00582
0.5135100001  n  -0.00582
0.5222899999  n  -0.00582
0.5310699999  n  -0.00582
0.53986  n  -0.00582
0.5486399999  n  -0.00582
0.55742  n  -0.00582
0.5662099999  n  -0.00582
0.57499  n  -0.00582
0.58377  n  -0.00582
0.5925599999  n  -0.00582
0.60134  n  -0.00582
0.6101199999  n  -0.00582
0.6189099999  n  -0.00582
0.62769  n  -0.00582
0.6364700001  n  -0.00582
0.6452600001  n  -0.00582
0.6540400002  n  -0.00582
0.6628299998  n  -0.00582
0.6716100001  n  -0.00582
0.6803900001  n  -0.00582
0.6891799999  n  -0.00582
0.6979600001  n  -0.00582
0.7067400002  n  -0.00582
0.71553  n  -0.00582
0.7243100002  n  -0.00582
0.7330900001  n  -0.00582
0.7418800002  n  -0.00582
0.7506599998  n  -0.00582
0.7594399998  n  -0.00582
0.7682300001  n  -0.00582
0.7770100003  n  -0.00582
0.7857899999  n  -0.00582
0.7945800001  n  -0.00582
0.8033599999  n  -0.00582
0.81214  n  -0.00582
0.8209299998  n  -0.00582
0.8297100001  n  -0.00582
0.8384999998  n  -0.00582
0.8472799999  n  -0.00582
0.8560599999  n  -0.00582
0.8648500003  n  -0.00582
0.8736299998  n  -0.00582
0.8824100001  n  -0.00582
0.8912000002  n  -0.00582
0.89998  n  -0.00582
0.9087599998  n  -0.00582
0.9175500002  n  -0.00582
0.9263299996  n  -0.00582
0.9351099997  n  -0.00582
0.9439000001  n  -0.00582
0.9526800004  n  -0.00582
0.9614599999  n  -0.00582
0.9702500004  n  -0.00582
0.9790299998  n  -0.00582
0.9878199996  n  -0.00582
0.9966000004  n  -0.00582
1.0053799995  n  -0.00582
1.0141700005  n  -0.00582
1.0229499999  n  -0.00582
1.0317299998  n  -0.00582
1.0405199995  n  -0.00582
1.0492999995  n  -0.00582
1.0580800004  n  -0.00582
1.0668700001  n  -0.00582
1.0756499998  n  -0.00582
1.0844300002  n  -0.00582
1.0932199998  n  -0.00582
1.1020000004  n  -0.00582
1.1107799999  n  -0.00582
1.1195699999  n  -0.00582
1.1283499998  n  -0.00582
1.13713  n  -0.00582
1.1459199997  n  -0.00582
1.1546999994  n  -0.00582
1.1634899998  n  -0.00582
1.17227  n  -0.00582
1.1810499998  n  -0.00582
1.18984  n  -0.00582
1.19862  n  -0.00582
1.2074000001  n  -0.00582
1.2161900001  n  -0.00582
1.2249699997  n  -0.00582
1.2337499996  n  -0.00582
1.2425399995  n  -0.00582
1.2513200003  n  -0.00582
1.2601000008  n  -0.00582
1.2688900003  n  -0.00582
1.2776699993  n  -0.00582
1.2864499993  n  -0.00582
1.2952400003  n  -0.00582
1.30402  n  -0.00582
1.3128099996  n  -0.00582
1.32159  n  -0.00582
1.3303699998  n  -0.00582
1.3391600006  n  -0.00582
1.3479399994  n  -0.00582
1.3567200006  n  -0.00582
1.3655099998  n  -0.00582
1.3742900009  n  -0.00582
1.3830700003  n  -0.00582
1.3918599996  n  -0.00582
1.4006399998  n  -0.00582
1.4094200001  n  -0.00582
1.4182100005  n  -0.00582
1.4269899995  n  -0.00582
1.4357699999  n  -0.00582
1.4445600003  n  -0.00582
1.4533400004  n  -0.00582
1.4621199996  n  -0.00582
1.470909999  n  -0.00582
1.47969  n  -0.00582
1.4884799991  n  -0.00582
1.49726  n  -0.00582
1.5060400005  n  -0.00582
1.5148299994  n  -0.00582
1.52361  n  -0.00582
1.5323899995  n  -0.00582
1.5411799998  n  -0.00582
1.5499600002  n  -0.00582
1.5587400001  n  -0.00582
1.5675300005  n  -0.00582
1.5763100002  n  -0.00582
1.5850899993  n  -0.00582
1.5938800006  n  -0.00582
1.6026600002  n  -0.00582
1.6114399993  n  -0.00582
1.6202299999  n  -0.00582
1.6290099991  n  -0.00582
1.6377999995  n  -0.00582
1.6465799988  n  -0.00582
1.6553600006  n  -0.00582
1.6641500004  n  -0.00582
1.6729299995  n  -0.00582
1.6817099999  n  -0.00582
1.6905000006  n  -0.00582
1.6992799989  n  -0.00582
1.7080600005  n  -0.00582
1.7168500005  n  -0.00582
1.72563  n  -0.00582
1.7344100012  n  -0.00582
1.7432000004  n  -0.00582
1.7519800015  n  -0.00582
1.7607599995  n  -0.00582
1.7695499995  n  -0.00582
1.778329999  n  -0.00582
1.7871099995  n  -0.00582
1.7958999987  n  -0.00582
1.8046799998  n  -0.00582
