he2022
75
pe
wavel  k
0.25798  n  -0.00449
0.26597  n  -0.00449
0.27395  n  -0.00449
0.28193  n  -0.00449
0.28992  n  -0.00449
0.2979  n  -0.00449
0.30588  n  -0.00449
0.31387  n  -0.00449
0.32185  n  -0.00449
0.32983  n  -0.00449
0.33782  n  -0.00449
0.3458  n  -0.00449
0.35378  n  -0.00449
0.36176  n  -0.00449
0.36975  n  -0.00449
0.37773  n  -0.00449
0.3857100001  n  -0.00449
0.3937  n  -0.00449
0.4016799999  n  -0.00449
0.4096599999  n  -0.00449
0.4176499999  n  -0.00449
0.42563  n  -0.00449
0.43361  n  -0.00449
0.4415999999  n  -0.00449
0.44958  n  -0.00449
0.45756  n  -0.00449
0.46555  n  -0.00449
0.47353  n  -0.00449
0.4815100001  n  -0.00449
0.4895000001  n  -0.00449
0.4974799999  n  -0.00449
0.5054599999  n  -0.00449
0.5134499999  n  -0.00449
0.52143  n  -0.00449
0.5294100001  n  -0.00449
0.5373899999  n  -0.00449
0.54538  n  -0.00449
0.5533600002  n  -0.00449
0.5613399999  n  -0.00449
0.5693299999  n  -0.00449
0.5773099999  n  -0.00449
0.5852899998  n  -0.00449
0.59328  n  -0.00449
0.6012600001  n  -0.00449
0.60924  n  -0.00449
0.6172300001  n  -0.00449
0.6252099998  n  -0.00449
0.63319  n  -0.00449
0.6411800002  n  -0.00449
0.6491599999  n  -0.00449
0.6571399999  n  -0.00449
0.66513  n  -0.00449
0.67311  n  -0.00449
0.6810900002  n  -0.00449
0.6890800002  n  -0.00449
0.6970599999  n  -0.00449
0.70504  n  -0.00449
0.7130300002  n  -0.00449
0.7210099998  n  -0.00449
0.7289899997  n  -0.00449
0.7369699999  n  -0.00449
0.7449599999  n  -0.00449
0.7529400001  n  -0.00449
0.7609199998  n  -0.00449
0.7689100001  n  -0.00449
0.7768899999  n  -0.00449
0.7848700001  n  -0.00449
0.7928600001  n  -0.00449
0.8008399998  n  -0.00449
0.8088200003  n  -0.00449
0.8168100001  n  -0.00449
0.8247899997  n  -0.00449
0.8327699998  n  -0.00449
0.8407599997  n  -0.00449
0.8487399999  n  -0.00449
0.8567200002  n  -0.00449
0.8647100001  n  -0.00449
0.87269  n  -0.00449
0.8806699997  n  -0.00449
0.8886600001  n  -0.00449
0.8966399998  n  -0.00449
0.9046199999  n  -0.00449
0.9126099996  n  -0.00449
0.9205899996  n  -0.00449
0.9285699998  n  -0.00449
0.93655  n  -0.00449
0.9445400002  n  -0.00449
0.9525200003  n  -0.00449
0.9605000003  n  -0.00449
0.9684899997  n  -0.00449
0.9764700004  n  -0.00449
0.9844499999  n  -0.00449
0.99244  n  -0.00449
1.0004200003  n  -0.00449
1.0084000002  n  -0.00449
1.0163900002  n  -0.00449
1.02437  n  -0.00449
1.0323500004  n  -0.00449
1.0403400002  n  -0.00449
1.0483199999  n  -0.00449
1.0562999999  n  -0.00449
1.0642899998  n  -0.00449
1.0722699997  n  -0.00449
1.0802499998  n  -0.00449
1.0882400003  n  -0.00449
1.0962200002  n  -0.00449
1.1042000006  n  -0.00449
1.1121800001  n  -0.00449
1.1201700006  n  -0.00449
1.1281500005  n  -0.00449
1.1361300003  n  -0.00449
1.1441200003  n  -0.00449
1.1521000001  n  -0.00449
1.1600799994  n  -0.00449
1.1680700006  n  -0.00449
1.1760499995  n  -0.00449
1.1840299999  n  -0.00449
1.1920199997  n  -0.00449
1.2000000005  n  -0.00449
1.2079800004  n  -0.00449
1.2159700004  n  -0.00449
1.2239500005  n  -0.00449
1.2319299999  n  -0.00449
1.2399200006  n  -0.00449
1.2478999996  n  -0.00449
1.2558800003  n  -0.00449
1.2638700001  n  -0.00449
1.2718499999  n  -0.00449
1.2798299993  n  -0.00449
1.2878200007  n  -0.00449
1.2958000008  n  -0.00449
1.3037799993  n  -0.00449
1.3117600007  n  -0.00449
1.31975  n  -0.00449
1.3277299994  n  -0.00449
1.3357099995  n  -0.00449
1.3437000003  n  -0.00449
1.3516799996  n  -0.00449
1.3596600003  n  -0.00449
1.3676500005  n  -0.00449
1.3756299995  n  -0.00449
1.3836099997  n  -0.00449
1.3916000001  n  -0.00449
1.3995800006  n  -0.00449
1.4075600003  n  -0.00449
1.4155500005  n  -0.00449
1.4235299991  n  -0.00449
1.4315099996  n  -0.00449
1.4394999995  n  -0.00449
1.4474800004  n  -0.00449
1.45546  n  -0.00449
1.4634499997  n  -0.00449
1.4714299993  n  -0.00449
1.4794100006  n  -0.00449
1.4873900005  n  -0.00449
1.4953799996  n  -0.00449
1.5033599998  n  -0.00449
1.5113400004  n  -0.00449
1.5193299995  n  -0.00449
1.5273099996  n  -0.00449
1.5352900002  n  -0.00449
1.5432800005  n  -0.00449
1.5512599991  n  -0.00449
1.5592399995  n  -0.00449
1.5672300005  n  -0.00449
1.5752100003  n  -0.00449
1.5831900002  n  -0.00449
1.5911800002  n  -0.00449
1.5991600009  n  -0.00449
1.607140001  n  -0.00449
1.6151300003  n  -0.00449
1.6231100012  n  -0.00449
1.6310900003  n  -0.00449
1.6390799996  n  -0.00449
1.6470600013  n  -0.00449
1.6550399996  n  -0.00449
1.6630299998  n  -0.00449
1.6710100004  n  -0.00449
1.6789899999  n  -0.00449
1.6869700001  n  -0.00449
1.6949600012  n  -0.00449
1.7029400011  n  -0.00449
1.7109200003  n  -0.00449
1.7189099996  n  -0.00449
1.7268900012  n  -0.00449
1.7348700014  n  -0.00449
1.7428600006  n  -0.00449
1.7508400009  n  -0.00449
1.7588199995  n  -0.00449
1.7668099992  n  -0.00449
1.7747900001  n  -0.00449
1.7827699997  n  -0.00449
