he2022
105
pe
wavel  k
2.3053400008  n  1.1998
2.3141299984  n  1.19923
2.3229100002  n  1.19819
2.3316900002  n  1.1962
2.3404799984  n  1.19486
2.3492600021  n  1.19377
2.3580400024  n  1.19193
2.3668300022  n  1.19059
2.3756100017  n  1.18955
2.3843900014  n  1.18826
2.393179998  n  1.18667
2.4019599974  n  1.18505
2.410740001  n  1.18466
2.419530001  n  1.18256
2.4283099995  n  1.18097
2.4370900006  n  1.17996
2.445880001  n  1.17796
2.4546599997  n  1.17689
2.4634500017  n  1.17536
2.4722300028  n  1.17294
2.4810100021  n  1.1717
2.489799999  n  1.16957
2.4985800008  n  1.16829
2.507359998  n  1.16598
2.5161500032  n  1.16402
2.5249299973  n  1.16243
2.533709998  n  1.16038
2.5424999977  n  1.15788
2.5512800009  n  1.1556
2.5600599996  n  1.15347
2.5688500031  n  1.15108
2.5776299994  n  1.14819
2.5864099989  n  1.14569
2.5952000006  n  1.14299
2.6039800006  n  1.13995
2.6127700012  n  1.1366
2.6215500009  n  1.13376
2.6303299975  n  1.12946
2.6391199966  n  1.12602
2.6478999967  n  1.12237
2.6566800011  n  1.11866
2.6654699986  n  1.11444
2.6742499982  n  1.10995
2.6830300016  n  1.1054
2.6918200018  n  1.10019
2.7006000009  n  1.09509
2.709379999  n  1.08951
2.718170001  n  1.08068
2.7269499977  n  1.07401
2.7357300028  n  1.06677
2.744519997  n  1.05853
2.7533000001  n  1.05022
2.7620800025  n  1.04016
2.7708699989  n  1.03045
2.7796500033  n  1.01952
2.7884399978  n  1.00711
2.797220003  n  0.99464
2.8060000036  n  0.98045
2.8147899988  n  0.96548
2.8235699968  n  0.94869
2.8323500028  n  0.93025
2.8411399981  n  0.90983
2.8499200036  n  0.88776
2.8586999992  n  0.86451
2.8674899982  n  0.84055
2.8762700034  n  0.81738
2.8850500035  n  0.79808
2.8938399977  n  0.78389
2.902619996  n  0.77574
2.9113999987  n  0.775
2.9201900012  n  0.77926
2.9289699967  n  0.79047
2.9377600026  n  0.80421
2.9465399967  n  0.82029
2.9553199976  n  0.8378
2.9641099989  n  0.85293
2.972890002  n  0.86876
2.9816699959  n  0.88451
2.990459999  n  0.89998
2.9992400016  n  0.92035
3.008020001  n  0.94495
3.0168100002  n  0.97687
3.0255900046  n  1.01769
3.0343699964  n  1.06732
3.0431600032  n  1.12567
3.0519399994  n  1.18854
3.0607200019  n  1.25182
3.0695100025  n  1.31177
3.0782899987  n  1.36699
3.0870700006  n  1.41567
3.0958599953  n  1.45786
3.1046400037  n  1.49549
