clapp1995
210
ne
Wavelength (microns) 	 real  imaginary
2.50000e+00  1.23200e+00  1.84000e-03
2.50086e+00  1.23147e+00  1.68000e-03
2.50147e+00  1.23118e+00  1.55000e-03
2.50207e+00  1.23101e+00  1.42000e-03
2.50267e+00  1.23103e+00  1.28000e-03
2.50328e+00  1.23127e+00  1.11000e-03
2.50388e+00  1.23088e+00  9.70000e-04
2.50449e+00  1.22994e+00  8.40000e-04
2.50509e+00  1.22995e+00  7.30000e-04
2.50570e+00  1.23045e+00  6.50000e-04
2.50630e+00  1.22993e+00  6.40000e-04
2.50691e+00  1.22913e+00  7.10000e-04
2.50751e+00  1.22881e+00  8.70000e-04
2.50812e+00  1.22827e+00  1.13000e-03
2.50872e+00  1.22796e+00  1.43000e-03
2.50933e+00  1.22817e+00  1.78000e-03
2.50994e+00  1.22798e+00  2.08000e-03
2.51055e+00  1.22764e+00  2.31000e-03
2.51115e+00  1.22811e+00  2.52000e-03
2.51176e+00  1.22900e+00  2.64000e-03
2.51237e+00  1.22907e+00  2.66000e-03
2.51298e+00  1.22877e+00  2.57000e-03
2.51359e+00  1.22897e+00  2.35000e-03
2.51420e+00  1.22906e+00  1.99000e-03
2.51481e+00  1.22904e+00  1.67000e-03
2.51542e+00  1.22925e+00  1.35000e-03
2.51603e+00  1.22887e+00  1.03000e-03
2.51664e+00  1.22795e+00  7.80000e-04
2.51725e+00  1.22797e+00  5.90000e-04
2.51786e+00  1.22852e+00  4.70000e-04
2.51847e+00  1.22790e+00  4.10000e-04
2.51908e+00  1.22682e+00  4.20000e-04
2.51969e+00  1.22696e+00  4.70000e-04
2.52030e+00  1.22753e+00  5.60000e-04
2.52092e+00  1.22691e+00  7.00000e-04
2.52153e+00  1.22587e+00  8.90000e-04
2.52214e+00  1.22593e+00  9.90000e-04
2.52276e+00  1.22629e+00  1.02000e-03
2.52337e+00  1.22601e+00  1.00000e-03
2.52398e+00  1.22580e+00  8.80000e-04
2.52460e+00  1.22602e+00  7.90000e-04
2.52521e+00  1.22623e+00  7.40000e-04
2.52583e+00  1.22592e+00  6.40000e-04
2.52644e+00  1.22530e+00  5.60000e-04
2.52706e+00  1.22482e+00  5.30000e-04
2.52767e+00  1.22419e+00  5.30000e-04
2.52829e+00  1.22398e+00  6.00000e-04
2.52890e+00  1.22436e+00  7.50000e-04
2.52952e+00  1.22390e+00  9.80000e-04
2.53014e+00  1.22291e+00  1.32000e-03
2.53076e+00  1.22294e+00  1.72000e-03
2.53137e+00  1.22333e+00  2.20000e-03
2.53199e+00  1.22299e+00  2.60000e-03
2.53261e+00  1.22260e+00  2.90000e-03
2.53323e+00  1.22310e+00  3.12000e-03
2.53385e+00  1.22400e+00  3.16000e-03
2.53446e+00  1.22407e+00  3.16000e-03
2.53508e+00  1.22378e+00  3.09000e-03
2.53570e+00  1.22398e+00  2.93000e-03
2.53632e+00  1.22406e+00  2.73000e-03
2.53694e+00  1.22403e+00  2.52000e-03
2.53756e+00  1.22422e+00  2.32000e-03
2.53819e+00  1.22389e+00  2.18000e-03
2.53881e+00  1.22305e+00  2.14000e-03
2.53943e+00  1.22294e+00  2.13000e-03
2.54005e+00  1.22323e+00  2.21000e-03
2.54067e+00  1.22302e+00  2.36000e-03
2.54129e+00  1.22287e+00  2.56000e-03
2.54192e+00  1.22299e+00  2.64000e-03
2.54254e+00  1.22303e+00  2.59000e-03
2.54316e+00  1.22300e+00  2.48000e-03
2.54379e+00  1.22300e+00  2.20000e-03
2.54441e+00  1.22299e+00  1.93000e-03
2.54503e+00  1.22295e+00  1.66000e-03
2.54566e+00  1.22302e+00  1.36000e-03
2.54628e+00  1.22318e+00  1.08000e-03
2.54691e+00  1.22293e+00  8.50000e-04
2.54753e+00  1.22232e+00  6.70000e-04
2.54816e+00  1.22182e+00  5.90000e-04
2.54879e+00  1.22120e+00  6.20000e-04
2.54941e+00  1.22098e+00  6.90000e-04
2.55004e+00  1.22135e+00  8.20000e-04
2.55067e+00  1.22091e+00  1.01000e-03
2.55129e+00  1.21996e+00  1.25000e-03
2.55192e+00  1.21993e+00  1.38000e-03
2.55255e+00  1.22024e+00  1.42000e-03
2.55318e+00  1.22002e+00  1.45000e-03
2.55380e+00  1.21989e+00  1.40000e-03
2.55443e+00  1.21999e+00  1.32000e-03
2.55506e+00  1.21996e+00  1.24000e-03
2.55569e+00  1.22003e+00  1.12000e-03
2.55632e+00  1.22026e+00  9.80000e-04
2.55695e+00  1.21989e+00  8.60000e-04
2.55758e+00  1.21899e+00  7.60000e-04
2.55821e+00  1.21896e+00  6.90000e-04
2.55884e+00  1.21947e+00  6.80000e-04
2.55947e+00  1.21892e+00  6.90000e-04
2.56011e+00  1.21795e+00  7.20000e-04
2.56074e+00  1.21793e+00  7.70000e-04
2.56137e+00  1.21818e+00  8.30000e-04
2.56200e+00  1.21804e+00  8.70000e-04
2.56264e+00  1.21812e+00  9.00000e-04
2.56327e+00  1.21790e+00  9.40000e-04
2.56390e+00  1.21709e+00  9.90000e-04
2.56454e+00  1.21694e+00  1.00000e-03
2.56517e+00  1.21722e+00  1.00000e-03
2.56580e+00  1.21701e+00  1.02000e-03
2.56644e+00  1.21681e+00  1.05000e-03
2.56707e+00  1.21702e+00  1.05000e-03
2.56771e+00  1.21729e+00  1.04000e-03
2.56835e+00  1.21690e+00  1.08000e-03
2.56898e+00  1.21605e+00  1.14000e-03
2.56962e+00  1.21594e+00  1.17000e-03
2.57025e+00  1.21623e+00  1.19000e-03
2.57089e+00  1.21601e+00  1.20000e-03
2.57153e+00  1.21581e+00  1.15000e-03
2.57217e+00  1.21602e+00  1.11000e-03
2.57280e+00  1.21628e+00  1.06000e-03
2.57344e+00  1.21591e+00  1.01000e-03
2.57408e+00  1.21508e+00  9.80000e-04
2.57472e+00  1.21493e+00  9.20000e-04
2.57536e+00  1.21513e+00  8.30000e-04
2.57600e+00  1.21504e+00  7.70000e-04
2.57664e+00  1.21515e+00  7.20000e-04
2.57728e+00  1.21489e+00  6.60000e-04
2.57792e+00  1.21403e+00  6.00000e-04
2.57856e+00  1.21397e+00  5.60000e-04
2.57920e+00  1.21446e+00  5.30000e-04
2.57984e+00  1.21392e+00  5.10000e-04
2.58048e+00  1.21289e+00  5.00000e-04
2.58112e+00  1.21296e+00  4.60000e-04
2.58177e+00  1.21350e+00  3.90000e-04
2.58241e+00  1.21292e+00  3.60000e-04
2.58305e+00  1.21189e+00  3.70000e-04
2.58370e+00  1.21196e+00  3.90000e-04
2.58434e+00  1.21247e+00  4.80000e-04
2.58498e+00  1.21193e+00  5.60000e-04
2.58563e+00  1.21096e+00  6.50000e-04
2.58627e+00  1.21093e+00  7.20000e-04
2.58692e+00  1.21117e+00  7.60000e-04
2.58756e+00  1.21104e+00  8.20000e-04
2.58821e+00  1.21112e+00  8.90000e-04
2.58885e+00  1.21091e+00  9.30000e-04
2.58950e+00  1.21013e+00  9.80000e-04
2.59015e+00  1.20994e+00  1.05000e-03
2.59079e+00  1.21012e+00  1.13000e-03
2.59144e+00  1.21004e+00  1.18000e-03
2.59209e+00  1.21013e+00  1.22000e-03
2.59274e+00  1.20991e+00  1.30000e-03
2.59338e+00  1.20912e+00  1.40000e-03
2.59403e+00  1.20894e+00  1.51000e-03
2.59468e+00  1.20919e+00  1.65000e-03
2.59533e+00  1.20901e+00  1.74000e-03
2.59598e+00  1.20888e+00  1.78000e-03
2.59663e+00  1.20900e+00  1.76000e-03
2.59728e+00  1.20905e+00  1.63000e-03
2.59793e+00  1.20899e+00  1.51000e-03
2.59858e+00  1.20892e+00  1.36000e-03
2.59923e+00  1.20902e+00  1.18000e-03
2.59988e+00  1.20926e+00  1.01000e-03
2.60053e+00  1.20891e+00  8.60000e-04
2.60119e+00  1.20805e+00  7.10000e-04
2.60184e+00  1.20796e+00  5.80000e-04
2.60249e+00  1.20836e+00  4.80000e-04
2.60314e+00  1.20795e+00  4.20000e-04
2.60380e+00  1.20724e+00  4.00000e-04
2.60445e+00  1.20685e+00  3.90000e-04
2.60510e+00  1.20625e+00  3.90000e-04
2.60576e+00  1.20598e+00  4.00000e-04
2.60641e+00  1.20633e+00  4.10000e-04
2.60707e+00  1.20592e+00  4.10000e-04
2.60772e+00  1.20496e+00  3.80000e-04
2.60838e+00  1.20496e+00  4.10000e-04
2.60904e+00  1.20544e+00  4.60000e-04
2.60969e+00  1.20493e+00  5.30000e-04
2.61035e+00  1.20401e+00  6.30000e-04
2.61101e+00  1.20394e+00  7.30000e-04
2.61166e+00  1.20415e+00  8.40000e-04
2.61232e+00  1.20404e+00  9.60000e-04
2.61298e+00  1.20412e+00  1.09000e-03
2.61364e+00  1.20391e+00  1.19000e-03
2.61430e+00  1.20313e+00  1.28000e-03
2.61495e+00  1.20295e+00  1.35000e-03
2.61561e+00  1.20319e+00  1.38000e-03
