mastrapa2008Ic
40
ne
Wavelength (microns) 	 real  imaginary
1.1111962e+00  1.3121911e+00  2.1564713e-06
1.1113154e+00  1.3121898e+00  1.3008143e-06
1.1114346e+00  1.3121878e+00  1.2142505e-06
1.1115538e+00  1.3121861e+00  2.1300377e-06
1.1116730e+00  1.3121846e+00  1.6534756e-06
1.1117923e+00  1.3121828e+00  1.9222159e-06
1.1119117e+00  1.3121812e+00  2.0763550e-06
1.1120309e+00  1.3121794e+00  1.7881887e-06
1.1121503e+00  1.3121780e+00  2.1037747e-06
1.1122696e+00  1.3121763e+00  1.0443905e-06
1.1123890e+00  1.3121742e+00  1.0518753e-06
1.1125085e+00  1.3121721e+00  7.0407339e-07
1.1126279e+00  1.3121700e+00  8.8660795e-07
1.1127474e+00  1.3121679e+00  8.1337021e-07
1.1128669e+00  1.3121660e+00  1.3440825e-06
1.1129864e+00  1.3121643e+00  1.6140704e-06
1.1131059e+00  1.3121628e+00  1.5311492e-06
1.1132255e+00  1.3121607e+00  7.8171252e-07
1.1133451e+00  1.3121587e+00  1.6574078e-06
1.1134648e+00  1.3121570e+00  1.2859556e-06
1.1135844e+00  1.3121554e+00  1.7113122e-06
1.1137041e+00  1.3121535e+00  6.7257088e-07
1.1138238e+00  1.3121514e+00  1.4303581e-06
1.1139435e+00  1.3121496e+00  1.2165145e-06
1.1140633e+00  1.3121480e+00  1.1411186e-06
1.1141831e+00  1.3121459e+00  5.2417880e-07
1.1143029e+00  1.3121438e+00  6.3457941e-07
1.1144227e+00  1.3121419e+00  9.8738963e-07
1.1145426e+00  1.3121400e+00  6.0239887e-07
1.1146625e+00  1.3121378e+00  7.2330198e-07
1.1147825e+00  1.3121361e+00  1.0967392e-06
1.1149023e+00  1.3121343e+00  9.8260739e-07
1.1150223e+00  1.3121322e+00  5.8915072e-07
1.1151423e+00  1.3121303e+00  1.2482902e-06
1.1152623e+00  1.3121284e+00  7.7737013e-07
1.1153823e+00  1.3121265e+00  1.4583669e-06
1.1155024e+00  1.3121248e+00  1.4448266e-06
1.1156225e+00  1.3121233e+00  1.3639814e-06
1.1157426e+00  1.3121215e+00  8.7639171e-07
1.1158627e+00  1.3121196e+00  6.9037844e-07
1.1159829e+00  1.3121175e+00  2.5265845e-07
1.1161031e+00  1.3121153e+00  4.4998140e-07
1.1162233e+00  1.3121133e+00  5.3474162e-07
1.1163436e+00  1.3121114e+00  9.0160518e-07
1.1164638e+00  1.3121098e+00  9.7969075e-07
1.1165841e+00  1.3121079e+00  4.1395651e-07
1.1167045e+00  1.3121058e+00  3.8091935e-07
1.1168247e+00  1.3121040e+00  7.9989724e-07
1.1169451e+00  1.3121022e+00  3.4203546e-07
1.1170655e+00  1.3121002e+00  7.8078770e-08
1.1171860e+00  1.3120981e+00  1.0598045e-08
1.1173065e+00  1.3120959e+00  3.6825679e-08
1.1174270e+00  1.3120941e+00  4.9625919e-07
1.1175475e+00  1.3120922e+00  1.0601473e-08
1.1176680e+00  1.3120902e+00  2.2857405e-07
1.1177886e+00  1.3120883e+00  1.0603761e-08
1.1179091e+00  1.3120861e+00  6.6144345e-08
1.1180298e+00  1.3120842e+00  4.8068853e-07
1.1181504e+00  1.3120823e+00  1.0607193e-08
1.1182711e+00  1.3120804e+00  4.2209811e-07
1.1183918e+00  1.3120785e+00  1.9439914e-07
1.1185125e+00  1.3120764e+00  1.0610628e-08
1.1186332e+00  1.3120745e+00  5.2467097e-08
1.1187540e+00  1.3120725e+00  7.7913271e-08
1.1188748e+00  1.3120704e+00  5.2644420e-08
1.1189955e+00  1.3120685e+00  6.1081090e-07
1.1191164e+00  1.3120666e+00  9.7488211e-08
1.1192373e+00  1.3120646e+00  7.0924227e-07
1.1193582e+00  1.3120631e+00  4.5129377e-07
1.1194791e+00  1.3120611e+00  1.0619798e-08
1.1196001e+00  1.3120589e+00  2.3757428e-08
1.1197211e+00  1.3120570e+00  4.6634693e-07
1.1198421e+00  1.3120552e+00  3.8580362e-07
1.1199630e+00  1.3120533e+00  1.0624389e-08
1.1200840e+00  1.3120512e+00  1.0625537e-08
1.1202052e+00  1.3120492e+00  1.0626686e-08
1.1203263e+00  1.3120472e+00  1.0627835e-08
1.1204475e+00  1.3120451e+00  1.0628984e-08
1.1205686e+00  1.3120431e+00  1.0630133e-08
1.1206897e+00  1.3120412e+00  3.7295368e-07
1.1208110e+00  1.3120393e+00  1.0632433e-08
1.1209322e+00  1.3120372e+00  2.8325664e-07
1.1210535e+00  1.3120352e+00  7.5630325e-08
1.1211748e+00  1.3120332e+00  4.2563300e-07
1.1212960e+00  1.3120315e+00  8.7671901e-07
1.1214175e+00  1.3120298e+00  4.6728067e-07
1.1215388e+00  1.3120277e+00  1.0639337e-08
1.1216602e+00  1.3120255e+00  3.5645706e-07
1.1217817e+00  1.3120238e+00  2.1836063e-07
1.1219031e+00  1.3120216e+00  3.7116743e-07
1.1220247e+00  1.3120199e+00  8.0489349e-07
1.1221461e+00  1.3120182e+00  2.8388024e-07
1.1222676e+00  1.3120161e+00  1.6269098e-07
1.1223892e+00  1.3120141e+00  1.4753967e-07
1.1225107e+00  1.3120121e+00  1.0648557e-08
1.1226323e+00  1.3120100e+00  1.0649710e-08
1.1227540e+00  1.3120080e+00  1.0650864e-08
1.1228756e+00  1.3120060e+00  1.6332795e-07
1.1229973e+00  1.3120041e+00  2.7162036e-08
1.1231190e+00  1.3120021e+00  1.4492053e-07
1.1232408e+00  1.3120002e+00  1.0655482e-08
1.1233625e+00  1.3119980e+00  1.0656637e-08
1.1234843e+00  1.3119960e+00  8.2532281e-08
1.1236061e+00  1.3119941e+00  4.7946054e-07
1.1237280e+00  1.3119922e+00  1.2693971e-07
1.1238499e+00  1.3119901e+00  2.1099524e-07
1.1239717e+00  1.3119882e+00  1.0662417e-08
1.1240937e+00  1.3119860e+00  1.2886689e-07
1.1242156e+00  1.3119841e+00  6.1831673e-07
1.1243376e+00  1.3119825e+00  8.8898287e-07
1.1244596e+00  1.3119807e+00  1.0667044e-08
