mastrapa2008Ic
100
ne
Wavelength (microns) 	 real  imaginary
1.1253144e+00  1.3122734e+00  1.3913731e-06
1.1254365e+00  1.3122718e+00  1.2598136e-06
1.1255589e+00  1.3122700e+00  1.1519899e-06
1.1256810e+00  1.3122683e+00  4.5384297e-07
1.1258034e+00  1.3122660e+00  4.5389228e-07
1.1259257e+00  1.3122641e+00  7.8691329e-07
1.1260480e+00  1.3122621e+00  1.3287382e-07
1.1261704e+00  1.3122598e+00  4.5404025e-07
1.1262928e+00  1.3122579e+00  9.3942384e-07
1.1264153e+00  1.3122560e+00  8.3270834e-07
1.1265377e+00  1.3122540e+00  9.1494650e-07
1.1266602e+00  1.3122522e+00  1.3520320e-06
1.1267827e+00  1.3122505e+00  1.3250923e-06
1.1269052e+00  1.3122489e+00  1.7067590e-06
1.1270278e+00  1.3122472e+00  8.1293217e-07
1.1271504e+00  1.3122450e+00  9.2010686e-07
1.1272730e+00  1.3122432e+00  1.2848747e-06
1.1273956e+00  1.3122416e+00  1.0614335e-06
1.1275183e+00  1.3122394e+00  5.4117983e-08
1.1276410e+00  1.3122371e+00  7.2206552e-07
1.1277637e+00  1.3122354e+00  9.2227032e-07
1.1278864e+00  1.3122336e+00  8.5296006e-07
1.1280092e+00  1.3122318e+00  8.0297798e-07
1.1281320e+00  1.3122298e+00  7.4480091e-08
1.1282548e+00  1.3122275e+00  5.6983481e-07
1.1283777e+00  1.3122256e+00  6.0246924e-07
1.1285006e+00  1.3122236e+00  6.7744912e-07
1.1286235e+00  1.3122216e+00  6.7937566e-07
1.1287464e+00  1.3122197e+00  6.9923698e-07
1.1288694e+00  1.3122178e+00  8.0852385e-07
1.1289924e+00  1.3122158e+00  8.5571764e-07
1.1291153e+00  1.3122139e+00  1.0764830e-06
1.1292384e+00  1.3122121e+00  1.2190465e-06
1.1293615e+00  1.3122104e+00  1.3119115e-06
1.1294847e+00  1.3122087e+00  1.4070955e-06
1.1296077e+00  1.3122069e+00  9.6672022e-07
1.1297309e+00  1.3122050e+00  8.6006912e-07
1.1298540e+00  1.3122030e+00  6.5136828e-07
1.1299772e+00  1.3122011e+00  1.0155273e-06
1.1301005e+00  1.3121992e+00  5.1700476e-07
1.1302238e+00  1.3121972e+00  8.0949383e-07
1.1303470e+00  1.3121954e+00  5.6748047e-07
1.1304703e+00  1.3121935e+00  5.9651069e-07
1.1305937e+00  1.3121915e+00  1.0725234e-08
1.1307170e+00  1.3121893e+00  2.3182234e-07
1.1308404e+00  1.3121874e+00  5.8159384e-07
1.1309638e+00  1.3121854e+00  8.2872916e-08
1.1310873e+00  1.3121835e+00  5.9171947e-07
1.1312107e+00  1.3121816e+00  1.9890518e-07
1.1313342e+00  1.3121796e+00  1.9364182e-07
1.1314578e+00  1.3121777e+00  1.0733432e-08
1.1315813e+00  1.3121755e+00  1.0734604e-08
1.1317049e+00  1.3121735e+00  2.3572603e-07
1.1318285e+00  1.3121715e+00  1.3260768e-07
1.1319520e+00  1.3121694e+00  3.7837560e-07
1.1320758e+00  1.3121676e+00  6.6007442e-07
1.1321995e+00  1.3121659e+00  8.3222659e-07
1.1323231e+00  1.3121639e+00  1.4625958e-07
1.1324469e+00  1.3121620e+00  6.7557022e-07
1.1325707e+00  1.3121603e+00  4.1556646e-07
1.1326945e+00  1.3121583e+00  1.3092009e-07
1.1328183e+00  1.3121563e+00  1.0746339e-08
1.1329422e+00  1.3121542e+00  1.0747513e-08
1.1330661e+00  1.3121521e+00  1.0748689e-08
1.1331900e+00  1.3121502e+00  1.0749864e-08
1.1333139e+00  1.3121482e+00  1.0751040e-08
1.1334379e+00  1.3121462e+00  1.0752216e-08
1.1335618e+00  1.3121442e+00  1.0753392e-08
1.1336858e+00  1.3121423e+00  1.0754568e-08
1.1338099e+00  1.3121403e+00  1.0755745e-08
1.1339340e+00  1.3121383e+00  9.1433876e-08
1.1340580e+00  1.3121364e+00  1.0758099e-08
1.1341822e+00  1.3121344e+00  1.0759276e-08
1.1343063e+00  1.3121324e+00  1.0760454e-08
1.1344305e+00  1.3121305e+00  1.0761632e-08
1.1345547e+00  1.3121284e+00  1.0762810e-08
1.1346788e+00  1.3121264e+00  1.0763989e-08
1.1348032e+00  1.3121245e+00  1.0765168e-08
1.1349275e+00  1.3121225e+00  1.0766347e-08
1.1350518e+00  1.3121206e+00  1.2592626e-07
1.1351761e+00  1.3121186e+00  1.0768705e-08
1.1353005e+00  1.3121166e+00  1.0769885e-08
1.1354249e+00  1.3121146e+00  1.0771065e-08
1.1355493e+00  1.3121126e+00  1.0772245e-08
1.1356736e+00  1.3121105e+00  1.0773426e-08
1.1357982e+00  1.3121088e+00  3.3648774e-07
1.1359227e+00  1.3121068e+00  1.0775788e-08
1.1360472e+00  1.3121048e+00  1.0776969e-08
1.1361718e+00  1.3121028e+00  1.0778151e-08
1.1362964e+00  1.3121008e+00  1.0779333e-08
1.1364210e+00  1.3120987e+00  1.0780515e-08
1.1365457e+00  1.3120968e+00  1.0781697e-08
1.1366704e+00  1.3120948e+00  1.0782880e-08
1.1367950e+00  1.3120928e+00  1.0784063e-08
1.1369197e+00  1.3120908e+00  1.0785246e-08
1.1370445e+00  1.3120888e+00  1.0786429e-08
1.1371692e+00  1.3120869e+00  1.0787613e-08
1.1372941e+00  1.3120849e+00  1.0788797e-08
1.1374189e+00  1.3120829e+00  1.0789981e-08
1.1375437e+00  1.3120809e+00  1.0791166e-08
1.1376686e+00  1.3120790e+00  1.0792350e-08
1.1377935e+00  1.3120769e+00  1.0793535e-08
1.1379185e+00  1.3120749e+00  1.0794720e-08
1.1380434e+00  1.3120729e+00  1.0795906e-08
1.1381685e+00  1.3120708e+00  1.0797092e-08
1.1382935e+00  1.3120689e+00  1.0798278e-08
1.1384186e+00  1.3120670e+00  1.0799464e-08
1.1385436e+00  1.3120650e+00  1.0800650e-08
1.1386687e+00  1.3120630e+00  1.0801837e-08
1.1387938e+00  1.3120610e+00  1.0803024e-08
1.1389190e+00  1.3120590e+00  1.0804212e-08
1.1390442e+00  1.3120570e+00  1.0805399e-08
1.1391695e+00  1.3120550e+00  1.0806587e-08
1.1392946e+00  1.3120530e+00  1.0807775e-08
1.1394199e+00  1.3120511e+00  1.0808963e-08
1.1395452e+00  1.3120490e+00  1.0810152e-08
1.1396705e+00  1.3120470e+00  1.0811341e-08
1.1397959e+00  1.3120450e+00  1.0812530e-08
1.1399213e+00  1.3120430e+00  1.0813720e-08
1.1400467e+00  1.3120410e+00  1.0814909e-08
1.1401721e+00  1.3120390e+00  1.0816099e-08
1.1402977e+00  1.3120370e+00  1.0817289e-08
1.1404231e+00  1.3120350e+00  1.0818480e-08
1.1405486e+00  1.3120329e+00  1.0819670e-08
1.1406741e+00  1.3120309e+00  1.0820861e-08
1.1407996e+00  1.3120289e+00  1.0822053e-08
1.1409253e+00  1.3120269e+00  1.0823244e-08
1.1410509e+00  1.3120250e+00  1.0824436e-08
1.1411766e+00  1.3120229e+00  1.0825628e-08
1.1413023e+00  1.3120209e+00  1.0826820e-08
1.1414280e+00  1.3120189e+00  1.0828013e-08
1.1415538e+00  1.3120168e+00  1.0829206e-08
1.1416795e+00  1.3120149e+00  1.0830399e-08
1.1418053e+00  1.3120128e+00  1.0831592e-08
1.1419311e+00  1.3120108e+00  1.0832786e-08
1.1420569e+00  1.3120089e+00  1.0833980e-08
1.1421828e+00  1.3120068e+00  1.0835174e-08
1.1423087e+00  1.3120048e+00  1.0836368e-08
1.1424347e+00  1.3120028e+00  1.0837563e-08
1.1425606e+00  1.3120008e+00  1.0838758e-08
1.1426866e+00  1.3119987e+00  1.0839953e-08
1.1428126e+00  1.3119967e+00  1.0841148e-08
1.1429387e+00  1.3119947e+00  1.0842344e-08
1.1430649e+00  1.3119926e+00  1.0843540e-08
1.1431909e+00  1.3119906e+00  1.0844736e-08
1.1433170e+00  1.3119886e+00  1.0845933e-08
1.1434431e+00  1.3119866e+00  1.0847129e-08
1.1435694e+00  1.3119847e+00  1.0848326e-08
1.1436955e+00  1.3119825e+00  1.0849524e-08
1.1438218e+00  1.3119805e+00  1.0850721e-08
1.1439480e+00  1.3119785e+00  1.0851919e-08
1.1440743e+00  1.3119766e+00  1.0853117e-08
1.1442007e+00  1.3119744e+00  1.0854316e-08
1.1443270e+00  1.3119724e+00  1.0855514e-08
1.1444534e+00  1.3119704e+00  1.0856713e-08
1.1445798e+00  1.3119683e+00  1.0857912e-08
1.1447062e+00  1.3119663e+00  1.0859112e-08
1.1448327e+00  1.3119643e+00  1.0860311e-08
1.1449592e+00  1.3119622e+00  1.0861511e-08
1.1450857e+00  1.3119602e+00  1.0862711e-08
1.1452123e+00  1.3119582e+00  1.0863912e-08
1.1453388e+00  1.3119560e+00  1.0865113e-08
1.1454654e+00  1.3119541e+00  1.0866314e-08
1.1455921e+00  1.3119521e+00  1.0867515e-08
1.1457187e+00  1.3119500e+00  1.0868716e-08
1.1458454e+00  1.3119479e+00  1.0869918e-08
1.1459721e+00  1.3119459e+00  1.0871120e-08
1.1460989e+00  1.3119439e+00  1.0872323e-08
1.1462256e+00  1.3119419e+00  1.0873525e-08
1.1463524e+00  1.3119398e+00  1.0874728e-08
1.1464792e+00  1.3119378e+00  1.0875931e-08
1.1466061e+00  1.3119357e+00  1.0877135e-08
1.1467330e+00  1.3119338e+00  1.0878338e-08
1.1468599e+00  1.3119316e+00  1.0879542e-08
1.1469868e+00  1.3119296e+00  1.0880746e-08
1.1471138e+00  1.3119276e+00  1.0881951e-08
1.1472408e+00  1.3119255e+00  1.0883156e-08
1.1473678e+00  1.3119234e+00  1.0884361e-08
1.1474949e+00  1.3119214e+00  1.0885566e-08
1.1476220e+00  1.3119193e+00  1.0886771e-08
1.1477491e+00  1.3119173e+00  1.0887977e-08
1.1478761e+00  1.3119152e+00  1.0889183e-08
1.1480035e+00  1.3119133e+00  1.0890390e-08
1.1481307e+00  1.3119111e+00  1.0891596e-08
1.1482579e+00  1.3119091e+00  1.0892803e-08
1.1483850e+00  1.3119071e+00  1.0894010e-08
1.1485122e+00  1.3119050e+00  1.0895218e-08
1.1486396e+00  1.3119029e+00  1.0896425e-08
1.1487670e+00  1.3119009e+00  1.0897633e-08
1.1488943e+00  1.3118988e+00  1.0898841e-08
1.1490217e+00  1.3118967e+00  1.0900050e-08
1.1491491e+00  1.3118947e+00  1.0901259e-08
1.1492766e+00  1.3118926e+00  1.0902468e-08
1.1494040e+00  1.3118905e+00  1.0903677e-08
1.1495315e+00  1.3118885e+00  1.0904886e-08
1.1496592e+00  1.3118864e+00  1.0906096e-08
1.1497866e+00  1.3118843e+00  1.0907306e-08
1.1499141e+00  1.3118823e+00  1.0908517e-08
1.1500418e+00  1.3118802e+00  1.0909727e-08
1.1501695e+00  1.3118781e+00  1.0910938e-08
1.1502972e+00  1.3118761e+00  1.0912149e-08
1.1504250e+00  1.3118740e+00  1.0913361e-08
1.1505526e+00  1.3118719e+00  1.0914572e-08
1.1506804e+00  1.3118699e+00  1.0915784e-08
1.1508081e+00  1.3118678e+00  1.0916997e-08
1.1509360e+00  1.3118657e+00  1.0918209e-08
1.1510638e+00  1.3118635e+00  1.0919422e-08
1.1511917e+00  1.3118616e+00  1.0920635e-08
1.1513196e+00  1.3118595e+00  1.0921848e-08
1.1514475e+00  1.3118573e+00  1.0923062e-08
1.1515754e+00  1.3118553e+00  1.0924276e-08
1.1517034e+00  1.3118532e+00  1.0925490e-08
1.1518315e+00  1.3118511e+00  1.0926704e-08
1.1519595e+00  1.3118491e+00  1.0927919e-08
1.1520876e+00  1.3118470e+00  1.0929134e-08
1.1522157e+00  1.3118449e+00  1.0930349e-08
1.1523438e+00  1.3118428e+00  1.0931564e-08
1.1524719e+00  1.3118408e+00  1.0932780e-08
1.1526000e+00  1.3118387e+00  1.0933996e-08
1.1527283e+00  1.3118366e+00  1.0935212e-08
1.1528566e+00  1.3118345e+00  1.0936429e-08
1.1529849e+00  1.3118324e+00  1.0937646e-08
1.1531132e+00  1.3118303e+00  1.0938863e-08
1.1532415e+00  1.3118283e+00  1.0940080e-08
1.1533698e+00  1.3118261e+00  1.0941298e-08
