mastrapa2008Ic
80
ne
Wavelength (microns) 	 real  imaginary
1.1111962e+00  1.3124003e+00  1.2220981e-06
1.1113154e+00  1.3123987e+00  5.8919795e-07
1.1114346e+00  1.3123966e+00  9.8725127e-07
1.1115538e+00  1.3123952e+00  2.1735775e-06
1.1116730e+00  1.3123939e+00  1.4712382e-06
1.1117923e+00  1.3123921e+00  1.3825502e-06
1.1119117e+00  1.3123904e+00  1.2714371e-06
1.1120309e+00  1.3123884e+00  1.0929900e-06
1.1121503e+00  1.3123868e+00  1.7724636e-06
1.1122696e+00  1.3123850e+00  7.2825475e-07
1.1123890e+00  1.3123831e+00  1.6560795e-06
1.1125085e+00  1.3123816e+00  1.2204351e-06
1.1126279e+00  1.3123796e+00  4.5728055e-07
1.1127474e+00  1.3123775e+00  1.0859503e-06
1.1128669e+00  1.3123757e+00  1.1238440e-06
1.1129864e+00  1.3123739e+00  1.0254752e-06
1.1131059e+00  1.3123722e+00  1.1729434e-06
1.1132255e+00  1.3123703e+00  7.5135961e-07
1.1133451e+00  1.3123683e+00  9.8565317e-07
1.1134648e+00  1.3123662e+00  9.2801616e-07
1.1135844e+00  1.3123646e+00  1.5500013e-06
1.1137041e+00  1.3123630e+00  1.1919296e-06
1.1138238e+00  1.3123614e+00  1.4033002e-06
1.1139435e+00  1.3123596e+00  9.3749759e-07
1.1140633e+00  1.3123575e+00  5.4455353e-07
1.1141831e+00  1.3123555e+00  8.2795970e-07
1.1143029e+00  1.3123536e+00  9.5598182e-07
1.1144227e+00  1.3123518e+00  7.8868686e-07
1.1145426e+00  1.3123499e+00  8.0929118e-07
1.1146625e+00  1.3123479e+00  6.3401808e-07
1.1147825e+00  1.3123460e+00  1.1755403e-06
1.1149023e+00  1.3123442e+00  9.0907474e-07
1.1150223e+00  1.3123420e+00  7.0131591e-07
1.1151423e+00  1.3123403e+00  1.4576397e-06
1.1152623e+00  1.3123386e+00  1.3788801e-06
1.1153823e+00  1.3123370e+00  1.5483064e-06
1.1155024e+00  1.3123353e+00  1.1762844e-06
1.1156225e+00  1.3123335e+00  1.6413102e-06
1.1157426e+00  1.3123319e+00  9.7905786e-07
1.1158627e+00  1.3123299e+00  5.6489375e-07
1.1159829e+00  1.3123276e+00  3.2845725e-07
1.1161031e+00  1.3123255e+00  8.8937719e-07
1.1162233e+00  1.3123237e+00  1.0684155e-06
1.1163436e+00  1.3123221e+00  1.5701811e-06
1.1164638e+00  1.3123204e+00  5.2650137e-07
1.1165841e+00  1.3123182e+00  1.2499042e-06
1.1167045e+00  1.3123167e+00  1.1726924e-06
1.1168247e+00  1.3123147e+00  8.6832910e-07
1.1169451e+00  1.3123130e+00  1.1420220e-06
1.1170655e+00  1.3123112e+00  4.5597815e-07
1.1171860e+00  1.3123088e+00  7.3993583e-08
1.1173065e+00  1.3123068e+00  1.1209567e-06
1.1174270e+00  1.3123053e+00  1.2505790e-06
1.1175475e+00  1.3123034e+00  2.2212362e-07
1.1176680e+00  1.3123013e+00  8.7769996e-07
1.1177886e+00  1.3122995e+00  5.0774588e-07
1.1179091e+00  1.3122973e+00  4.6438086e-07
1.1180298e+00  1.3122954e+00  8.0076023e-07
1.1181504e+00  1.3122934e+00  6.9690122e-07
1.1182711e+00  1.3122917e+00  1.5030371e-06
1.1183918e+00  1.3122903e+00  1.1633133e-06
1.1185125e+00  1.3122883e+00  3.8320550e-07
1.1186332e+00  1.3122860e+00  4.6495330e-07
1.1187540e+00  1.3122840e+00  7.1637487e-07
1.1188748e+00  1.3122820e+00  8.4514744e-07
1.1189955e+00  1.3122803e+00  1.4879214e-06
1.1191164e+00  1.3122785e+00  6.8515970e-07
1.1192373e+00  1.3122764e+00  1.2684239e-06
1.1193582e+00  1.3122749e+00  1.7403444e-06
1.1194791e+00  1.3122733e+00  9.5078389e-07
1.1196001e+00  1.3122714e+00  8.7727562e-07
1.1197211e+00  1.3122692e+00  6.4254419e-07
1.1198421e+00  1.3122673e+00  9.6623376e-07
1.1199630e+00  1.3122653e+00  5.9907381e-07
1.1200840e+00  1.3122634e+00  1.0777175e-06
1.1202052e+00  1.3122613e+00  5.6820755e-07
1.1203263e+00  1.3122592e+00  6.7625103e-07
1.1204475e+00  1.3122574e+00  1.3287349e-06
1.1205686e+00  1.3122555e+00  9.0972839e-07
1.1206897e+00  1.3122536e+00  1.4924717e-06
1.1208110e+00  1.3122519e+00  1.2609071e-06
1.1209322e+00  1.3122499e+00  1.1949263e-06
1.1210535e+00  1.3122479e+00  1.2261286e-06
1.1211748e+00  1.3122460e+00  1.6454607e-06
1.1212960e+00  1.3122443e+00  1.9026389e-06
1.1214175e+00  1.3122427e+00  1.9912895e-06
1.1215388e+00  1.3122410e+00  1.2269938e-06
