wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =   10.00
0.44  0.65026E-05  0.52928E+00
azim,phase
0.000,1111.88550
1.000,164.81044
2.000,19.48398
3.000,2.11594
4.000,0.11610
5.000,0.57652
7.500,0.18251
10.000,0.08707
12.500,0.05255
15.000,0.03659
17.500,0.02779
20.000,0.02228
25.000,0.01567
30.000,0.01172
35.000,0.00904
40.000,0.00710
50.000,0.00450
60.000,0.00301
70.000,0.00218
80.000,0.00168
90.000,0.00139
100.000,0.00121
110.000,0.00112
120.000,0.00106
130.000,0.00103
140.000,0.00101
145.000,0.00101
150.000,0.00101
155.000,0.00101
160.000,0.00101
162.500,0.00101
165.000,0.00101
167.500,0.00101
170.000,0.00101
172.500,0.00101
175.000,0.00101
176.000,0.00101
177.000,0.00101
178.000,0.00101
179.000,0.00101
180.000,0.00101
