wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    0.30
0.44  0.73878E-08  0.67230E+00
azim,phase
0.000,1.69833
1.000,1.69571
2.000,1.68785
3.000,1.67482
4.000,1.65672
5.000,1.63372
7.500,1.55604
10.000,1.45283
12.500,1.32911
15.000,1.19066
17.500,1.04365
20.000,0.89416
25.000,0.60959
30.000,0.37172
35.000,0.19813
40.000,0.08928
50.000,0.01284
60.000,0.01505
70.000,0.01806
80.000,0.01096
90.000,0.00428
100.000,0.00223
110.000,0.00278
120.000,0.00357
130.000,0.00349
140.000,0.00243
145.000,0.00172
150.000,0.00107
155.000,0.00059
160.000,0.00033
162.500,0.00028
165.000,0.00028
167.500,0.00031
170.000,0.00037
172.500,0.00042
175.000,0.00048
176.000,0.00049
177.000,0.00051
178.000,0.00052
179.000,0.00052
180.000,0.00052
