wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    1.00
0.44  0.72365E-07  0.48789E+00
azim,phase
0.000,18.65154
1.000,18.31091
2.000,17.32045
3.000,15.77028
4.000,13.79764
5.000,11.56950
7.500,6.00665
10.000,2.05020
12.500,0.31566
15.000,0.05962
17.500,0.20947
20.000,0.20570
25.000,0.01493
30.000,0.08984
35.000,0.01497
40.000,0.03025
50.000,0.00349
60.000,0.00652
70.000,0.00976
80.000,0.00549
90.000,0.00216
100.000,0.00216
110.000,0.00232
120.000,0.00222
130.000,0.00137
140.000,0.00180
145.000,0.00141
150.000,0.00148
155.000,0.00233
160.000,0.00150
162.500,0.00114
165.000,0.00131
167.500,0.00175
170.000,0.00206
172.500,0.00224
175.000,0.00258
176.000,0.00277
177.000,0.00296
178.000,0.00314
179.000,0.00325
180.000,0.00330
