wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    0.10
0.44  0.17865E-09  0.42560E+00
azim,phase
0.000,0.26936
1.000,0.26929
2.000,0.26907
3.000,0.26871
4.000,0.26820
5.000,0.26755
7.500,0.26530
10.000,0.26218
12.500,0.25824
15.000,0.25351
17.500,0.24805
20.000,0.24191
25.000,0.22787
30.000,0.21195
35.000,0.19477
40.000,0.17694
50.000,0.14156
60.000,0.10955
70.000,0.08317
80.000,0.06315
90.000,0.04905
100.000,0.03976
110.000,0.03397
120.000,0.03050
130.000,0.02844
140.000,0.02720
145.000,0.02677
150.000,0.02643
155.000,0.02615
160.000,0.02594
162.500,0.02586
165.000,0.02578
167.500,0.02572
170.000,0.02567
172.500,0.02564
175.000,0.02561
176.000,0.02560
177.000,0.02559
178.000,0.02559
179.000,0.02559
180.000,0.02559
