wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    0.10
0.44  0.17906E-09  0.42779E+00
azim,phase
0.000,0.26943
1.000,0.26935
2.000,0.26914
3.000,0.26877
4.000,0.26826
5.000,0.26761
7.500,0.26536
10.000,0.26225
12.500,0.25831
15.000,0.25358
17.500,0.24811
20.000,0.24197
25.000,0.22793
30.000,0.21201
35.000,0.19483
40.000,0.17700
50.000,0.14161
60.000,0.10958
70.000,0.08319
80.000,0.06315
90.000,0.04904
100.000,0.03974
110.000,0.03394
120.000,0.03046
130.000,0.02840
140.000,0.02716
145.000,0.02673
150.000,0.02639
155.000,0.02612
160.000,0.02590
162.500,0.02582
165.000,0.02575
167.500,0.02568
170.000,0.02564
172.500,0.02560
175.000,0.02557
176.000,0.02556
177.000,0.02556
178.000,0.02555
179.000,0.02555
180.000,0.02555
