wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    0.44
0.44  0.18434E-07  0.65719E+00
azim,phase
0.000,3.60834
1.000,3.59583
2.000,3.55851
3.000,3.49706
4.000,3.41256
5.000,3.30650
7.500,2.95986
10.000,2.52702
12.500,2.05066
15.000,1.57377
17.500,1.13396
20.000,0.75911
25.000,0.25527
30.000,0.05376
35.000,0.03274
40.000,0.06176
50.000,0.04901
60.000,0.00761
70.000,0.00962
80.000,0.00860
90.000,0.00292
100.000,0.00277
110.000,0.00299
120.000,0.00213
130.000,0.00140
140.000,0.00209
145.000,0.00277
150.000,0.00309
155.000,0.00280
160.000,0.00202
162.500,0.00157
165.000,0.00115
167.500,0.00081
170.000,0.00056
172.500,0.00040
175.000,0.00031
176.000,0.00029
177.000,0.00028
178.000,0.00027
179.000,0.00026
180.000,0.00026
