wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    1.00
0.44  0.71806E-07  0.48448E+00
azim,phase
0.000,18.65662
1.000,18.31234
2.000,17.31148
3.000,15.74570
4.000,13.75458
5.000,11.50783
7.500,5.91504
10.000,1.97073
12.500,0.28241
15.000,0.07333
17.500,0.24197
20.000,0.22704
25.000,0.00901
30.000,0.10222
35.000,0.02084
40.000,0.02880
50.000,0.00312
60.000,0.00793
70.000,0.01026
80.000,0.00516
90.000,0.00200
100.000,0.00220
110.000,0.00234
120.000,0.00206
130.000,0.00130
140.000,0.00187
145.000,0.00153
150.000,0.00137
155.000,0.00211
160.000,0.00141
162.500,0.00109
165.000,0.00127
167.500,0.00167
170.000,0.00195
172.500,0.00213
175.000,0.00247
176.000,0.00265
177.000,0.00284
178.000,0.00301
179.000,0.00312
180.000,0.00316
