wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    0.10
0.44  0.17182E-09  0.40979E+00
azim,phase
0.000,0.26852
1.000,0.26844
2.000,0.26822
3.000,0.26786
4.000,0.26735
5.000,0.26670
7.500,0.26446
10.000,0.26135
12.500,0.25741
15.000,0.25269
17.500,0.24724
20.000,0.24111
25.000,0.22709
30.000,0.21122
35.000,0.19408
40.000,0.17630
50.000,0.14105
60.000,0.10918
70.000,0.08296
80.000,0.06311
90.000,0.04916
100.000,0.04000
110.000,0.03431
120.000,0.03091
130.000,0.02889
140.000,0.02767
145.000,0.02724
150.000,0.02690
155.000,0.02663
160.000,0.02642
162.500,0.02633
165.000,0.02626
167.500,0.02620
170.000,0.02615
172.500,0.02611
175.000,0.02608
176.000,0.02607
177.000,0.02607
178.000,0.02606
179.000,0.02606
180.000,0.02606
