wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =   10.00
0.44  0.65020E-05  0.52821E+00
azim,phase
0.000,1113.32947
1.000,165.05627
2.000,19.50635
3.000,2.11518
4.000,0.11497
5.000,0.57702
7.500,0.18235
10.000,0.08679
12.500,0.05226
15.000,0.03630
17.500,0.02752
20.000,0.02202
25.000,0.01544
30.000,0.01152
35.000,0.00886
40.000,0.00693
50.000,0.00437
60.000,0.00290
70.000,0.00208
80.000,0.00160
90.000,0.00131
100.000,0.00115
110.000,0.00105
120.000,0.00099
130.000,0.00097
140.000,0.00095
145.000,0.00095
150.000,0.00095
155.000,0.00094
160.000,0.00094
162.500,0.00094
165.000,0.00094
167.500,0.00094
170.000,0.00094
172.500,0.00094
175.000,0.00094
176.000,0.00094
177.000,0.00094
178.000,0.00094
179.000,0.00094
180.000,0.00094
