wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    0.10
0.44  0.19019E-09  0.41772E+00
azim,phase
0.000,0.27041
1.000,0.27034
2.000,0.27012
3.000,0.26975
4.000,0.26924
5.000,0.26859
7.500,0.26633
10.000,0.26320
12.500,0.25924
15.000,0.25449
17.500,0.24900
20.000,0.24284
25.000,0.22873
30.000,0.21275
35.000,0.19549
40.000,0.17757
50.000,0.14202
60.000,0.10984
70.000,0.08331
80.000,0.06315
90.000,0.04893
100.000,0.03955
110.000,0.03367
120.000,0.03013
130.000,0.02802
140.000,0.02674
145.000,0.02629
150.000,0.02594
155.000,0.02566
160.000,0.02544
162.500,0.02535
165.000,0.02527
167.500,0.02521
170.000,0.02516
172.500,0.02512
175.000,0.02509
176.000,0.02508
177.000,0.02508
178.000,0.02507
179.000,0.02507
180.000,0.02507
