Wavelength (microns) 	 real  imaginary
2.49707e+00   1.23279e+00   8.06000e-03
2.49766e+00   1.23237e+00   7.67000e-03
2.49827e+00   1.23190e+00   7.67000e-03
2.49887e+00   1.23168e+00   8.09000e-03
2.50000e+00   1.23200e+00   8.30000e-03
2.50128e+00   1.23226e+00   8.21000e-03
2.50188e+00   1.23232e+00   7.95000e-03
2.50249e+00   1.23222e+00   7.73000e-03
2.50309e+00   1.23208e+00   7.64000e-03
2.50370e+00   1.23200e+00   7.62000e-03
2.50430e+00   1.23195e+00   7.51000e-03
2.50490e+00   1.23194e+00   7.44000e-03
2.50551e+00   1.23208e+00   7.28000e-03
2.50612e+00   1.23198e+00   6.58000e-03
2.50672e+00   1.23109e+00   5.82000e-03
2.50733e+00   1.23001e+00   6.27000e-03
2.50794e+00   1.22956e+00   7.13000e-03
2.50854e+00   1.22955e+00   7.63000e-03
2.50915e+00   1.22975e+00   8.19000e-03
2.50976e+00   1.23035e+00   8.53000e-03
2.51036e+00   1.23093e+00   8.02000e-03
2.51097e+00   1.23063e+00   6.92000e-03
2.51158e+00   1.22953e+00   6.66000e-03
2.51219e+00   1.22867e+00   7.45000e-03
2.51280e+00   1.22841e+00   8.28000e-03
2.51340e+00   1.22844e+00   9.02000e-03
2.51402e+00   1.22901e+00   1.00700e-02
2.51462e+00   1.23033e+00   1.05900e-02
2.51524e+00   1.23152e+00   9.63000e-03
2.51584e+00   1.23175e+00   8.39000e-03
2.51646e+00   1.23140e+00   7.62000e-03
2.51707e+00   1.23071e+00   6.86000e-03
2.51767e+00   1.22981e+00   6.79000e-03
2.51829e+00   1.22907e+00   7.18000e-03
2.51890e+00   1.22885e+00   7.85000e-03
2.51951e+00   1.22924e+00   8.46000e-03
2.52012e+00   1.22967e+00   8.08000e-03
2.52074e+00   1.22965e+00   7.65000e-03
2.52135e+00   1.22937e+00   7.40000e-03
2.52196e+00   1.22894e+00   7.13000e-03
2.52258e+00   1.22844e+00   7.26000e-03
2.52319e+00   1.22805e+00   7.48000e-03
2.52381e+00   1.22771e+00   7.77000e-03
2.52442e+00   1.22753e+00   8.36000e-03
2.52504e+00   1.22776e+00   8.95000e-03
2.52565e+00   1.22826e+00   9.23000e-03
2.52626e+00   1.22883e+00   9.15000e-03
2.52688e+00   1.22924e+00   8.73000e-03
2.52749e+00   1.22934e+00   8.15000e-03
2.52811e+00   1.22922e+00   7.69000e-03
2.52873e+00   1.22898e+00   7.21000e-03
2.52935e+00   1.22858e+00   6.77000e-03
2.52996e+00   1.22801e+00   6.40000e-03
2.53058e+00   1.22707e+00   6.10000e-03
2.53120e+00   1.22592e+00   6.47000e-03
2.53181e+00   1.22518e+00   7.60000e-03
2.53243e+00   1.22529e+00   8.89000e-03
2.53305e+00   1.22608e+00   9.71000e-03
2.53367e+00   1.22694e+00   9.66000e-03
2.53429e+00   1.22747e+00   9.34000e-03
2.53491e+00   1.22778e+00   8.94000e-03
2.53553e+00   1.22784e+00   8.31000e-03
2.53615e+00   1.22737e+00   7.68000e-03
2.53677e+00   1.22664e+00   7.69000e-03
2.53739e+00   1.22648e+00   8.43000e-03
2.53801e+00   1.22692e+00   8.52000e-03
2.53863e+00   1.22698e+00   7.87000e-03
2.53925e+00   1.22656e+00   7.71000e-03
2.53988e+00   1.22630e+00   7.92000e-03
2.54050e+00   1.22632e+00   7.93000e-03
2.54112e+00   1.22610e+00   7.60000e-03
2.54174e+00   1.22559e+00   7.60000e-03
2.54237e+00   1.22533e+00   8.20000e-03
2.54299e+00   1.22546e+00   8.46000e-03
2.54361e+00   1.22566e+00   8.57000e-03
2.54424e+00   1.22581e+00   8.53000e-03
2.54486e+00   1.22580e+00   8.36000e-03
2.54549e+00   1.22578e+00   8.49000e-03
2.54611e+00   1.22612e+00   8.66000e-03
2.54674e+00   1.22656e+00   8.20000e-03
2.54736e+00   1.22642e+00   7.33000e-03
2.54799e+00   1.22581e+00   7.03000e-03
2.54861e+00   1.22547e+00   7.32000e-03
2.54924e+00   1.22548e+00   7.35000e-03
2.54987e+00   1.22546e+00   7.14000e-03
2.55049e+00   1.22550e+00   7.15000e-03
2.55112e+00   1.22575e+00   6.82000e-03
2.55175e+00   1.22568e+00   5.88000e-03
2.55237e+00   1.22488e+00   4.99000e-03
2.55301e+00   1.22360e+00   4.75000e-03
2.55363e+00   1.22253e+00   5.32000e-03
2.55427e+00   1.22202e+00   6.18000e-03
2.55489e+00   1.22194e+00   6.84000e-03
2.55553e+00   1.22220e+00   7.46000e-03
2.55615e+00   1.22274e+00   7.69000e-03
2.55679e+00   1.22331e+00   7.38000e-03
2.55741e+00   1.22347e+00   6.54000e-03
2.55804e+00   1.22277e+00   5.52000e-03
2.55868e+00   1.22155e+00   5.46000e-03
2.55931e+00   1.22067e+00   6.18000e-03
2.55994e+00   1.22040e+00   6.96000e-03
2.56057e+00   1.22054e+00   7.60000e-03
2.56121e+00   1.22085e+00   7.89000e-03
2.56184e+00   1.22114e+00   7.91000e-03
2.56247e+00   1.22127e+00   7.75000e-03
2.56310e+00   1.22108e+00   7.52000e-03
2.56373e+00   1.22089e+00   7.79000e-03
2.56437e+00   1.22113e+00   8.16000e-03
2.56500e+00   1.22164e+00   7.98000e-03
2.56564e+00   1.22193e+00   7.37000e-03
2.56627e+00   1.22162e+00   6.45000e-03
2.56691e+00   1.22074e+00   5.99000e-03
2.56755e+00   1.21985e+00   6.30000e-03
2.56818e+00   1.21940e+00   6.91000e-03
2.56882e+00   1.21945e+00   7.54000e-03
2.56945e+00   1.21982e+00   7.85000e-03
