wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    0.44
0.44  0.18239E-07  0.64078E+00
azim,phase
0.000,3.64686
1.000,3.63409
2.000,3.59601
3.000,3.53330
4.000,3.44709
5.000,3.33890
7.500,2.98547
10.000,2.54458
12.500,2.06000
15.000,1.57577
17.500,1.13027
20.000,0.75181
25.000,0.24681
30.000,0.04920
35.000,0.03247
40.000,0.06336
50.000,0.04895
60.000,0.00725
70.000,0.01002
80.000,0.00862
90.000,0.00286
100.000,0.00288
110.000,0.00294
120.000,0.00209
130.000,0.00149
140.000,0.00210
145.000,0.00269
150.000,0.00299
155.000,0.00271
160.000,0.00197
162.500,0.00154
165.000,0.00114
167.500,0.00082
170.000,0.00058
172.500,0.00042
175.000,0.00034
176.000,0.00032
177.000,0.00030
178.000,0.00030
179.000,0.00029
180.000,0.00029
