wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    1.00
0.44  0.72690E-07  0.48807E+00
azim,phase
0.000,18.71269
1.000,18.37301
2.000,17.38509
3.000,15.83832
4.000,13.86883
5.000,11.64238
7.500,6.07133
10.000,2.08777
12.500,0.32168
15.000,0.04914
17.500,0.20317
20.000,0.21201
25.000,0.01834
30.000,0.07834
35.000,0.01414
40.000,0.02737
50.000,0.00340
60.000,0.00547
70.000,0.00877
80.000,0.00528
90.000,0.00219
100.000,0.00207
110.000,0.00218
120.000,0.00215
130.000,0.00143
140.000,0.00166
145.000,0.00132
150.000,0.00156
155.000,0.00224
160.000,0.00152
162.500,0.00120
165.000,0.00132
167.500,0.00167
170.000,0.00192
172.500,0.00208
175.000,0.00233
176.000,0.00247
177.000,0.00262
178.000,0.00274
179.000,0.00283
180.000,0.00286
