wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =   10.00
0.44  0.65022E-05  0.53011E+00
azim,phase
0.000,1110.58423
1.000,164.64169
2.000,19.46271
3.000,2.11378
4.000,0.11708
5.000,0.57718
7.500,0.18307
10.000,0.08750
12.500,0.05291
15.000,0.03689
17.500,0.02806
20.000,0.02252
25.000,0.01587
30.000,0.01189
35.000,0.00919
40.000,0.00723
50.000,0.00461
60.000,0.00310
70.000,0.00225
80.000,0.00175
90.000,0.00145
100.000,0.00127
110.000,0.00117
120.000,0.00111
130.000,0.00108
140.000,0.00106
145.000,0.00106
150.000,0.00106
155.000,0.00105
160.000,0.00105
162.500,0.00105
165.000,0.00105
167.500,0.00105
170.000,0.00105
172.500,0.00105
175.000,0.00105
176.000,0.00105
177.000,0.00105
178.000,0.00105
179.000,0.00105
180.000,0.00105
