wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    3.00
0.44  0.60880E-06  0.51304E+00
aizm,phase
0.000,148.21706
1.000,127.19319
2.000,78.34161
3.000,31.20010
4.000,5.57059
5.000,0.11286
7.500,1.67347
10.000,0.39217
12.500,0.11893
15.000,0.23834
17.500,0.03313
20.000,0.07866
25.000,0.02019
30.000,0.01580
35.000,0.01723
40.000,0.01293
50.000,0.00535
60.000,0.00416
70.000,0.00303
80.000,0.00216
90.000,0.00174
100.000,0.00153
110.000,0.00140
120.000,0.00133
130.000,0.00129
140.000,0.00127
145.000,0.00127
150.000,0.00127
155.000,0.00126
160.000,0.00126
162.500,0.00126
165.000,0.00126
167.500,0.00126
170.000,0.00126
172.500,0.00126
175.000,0.00126
176.000,0.00126
177.000,0.00126
178.000,0.00127
179.000,0.00127
180.000,0.00127
