wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    0.30
0.44  0.69990E-08  0.65384E+00
azim,phase
0.000,1.69512
1.000,1.69252
2.000,1.68473
3.000,1.67183
4.000,1.65391
5.000,1.63113
7.500,1.55418
10.000,1.45190
12.500,1.32922
15.000,1.19186
17.500,1.04587
20.000,0.89726
25.000,0.61378
30.000,0.37595
35.000,0.20145
40.000,0.09114
50.000,0.01197
60.000,0.01346
70.000,0.01719
80.000,0.01073
90.000,0.00409
100.000,0.00191
110.000,0.00248
120.000,0.00336
130.000,0.00336
140.000,0.00234
145.000,0.00166
150.000,0.00102
155.000,0.00052
160.000,0.00023
162.500,0.00015
165.000,0.00012
167.500,0.00012
170.000,0.00014
172.500,0.00017
175.000,0.00020
176.000,0.00021
177.000,0.00022
178.000,0.00023
179.000,0.00023
180.000,0.00023
