hudgins1993
80
pe
wavel  n  k
19.9968005119  1.5128  0.01394
19.8436321784  1.5152  0.0069209
19.692792438  1.5173  0.013635
19.5446105736  1.5166  0.01693
19.398265795  1.519  0.013393
19.254096309  1.5179  0.026673
19.1120539724  1.516  0.016572
18.9720920526  1.5204  0.016346
18.8345199081  1.5237  0.019397
18.698578908  1.5252  0.022445
18.5645861954  1.5266  0.022243
18.4325001843  1.5296  0.021991
18.3022804641  1.5328  0.02489
18.1742180543  1.5347  0.027783
18.0476095941  1.5372  0.027499
17.9227529349  1.5404  0.030275
17.7996119685  1.543  0.033029
17.6781515725  1.5448  0.035764
17.5586458772  1.5477  0.035398
17.4404408943  1.552  0.037965
17.3238167833  1.555  0.043516
17.208742041  1.557  0.04608
17.0951859956  1.5599  0.04856
16.9834072112  1.5617  0.053977
16.872795991  1.5643  0.053473
16.7636162473  1.5678  0.058685
16.6558403704  1.5708  0.060977
16.5497153449  1.5742  0.066064
16.4446637066  1.5764  0.071158
16.3409373162  1.5791  0.073325
16.2385112533  1.5828  0.078197
16.1373612187  1.5864  0.083001
16.0377207191  1.5891  0.090587
15.9390490763  1.5913  0.095366
15.8415841584  1.5932  0.10288
15.7453039631  1.5946  0.10761
15.6501870197  1.5973  0.11216
15.5564543729  1.6006  0.11933
15.4635986887  1.6021  0.12934
15.3718449288  1.6019  0.13674
15.2811735941  1.6031  0.14122
15.1915656428  1.6043  0.15107
15.103230581  1.6043  0.15831
15.0156913975  1.6049  0.16543
14.9291611304  1.6048  0.1753
14.8436224376  1.6043  0.18246
14.7590583721  1.6038  0.19231
14.6756677429  1.6017  0.20236
14.5930011966  1.5996  0.20968
14.5112607383  1.5972  0.21975
14.4304308927  1.5945  0.22712
14.3504965272  1.5916  0.23726
14.2716465199  1.5883  0.2447
14.1934568164  1.585  0.25489
14.1161191965  1.5801  0.26539
14.0396198071  1.5745  0.27326
13.9641400883  1.5697  0.28098
13.8892747021  1.5641  0.29167
13.8152077807  1.5572  0.29984
13.7419266181  1.5504  0.30802
13.6694187763  1.5433  0.31629
13.5978569777  1.5356  0.32471
13.5268575757  1.5269  0.33339
13.4565957504  1.5182  0.33926
13.3870600677  1.509  0.34812
13.3182393288  1.4987  0.3544
13.2502981317  1.488  0.36081
13.1828728116  1.4779  0.36423
13.1161302169  1.4682  0.37047
13.0500600303  1.4567  0.37715
12.9848207445  1.4446  0.38112
12.9200635667  1.4321  0.3852
12.8559490904  1.4202  0.3862
12.792467795  1.4083  0.39018
12.7296103466  1.3956  0.3914
12.6675280586  1.3833  0.39253
12.6058894716  1.3705  0.39381
12.544847831  1.3582  0.39195
12.4843945069  1.346  0.39308
12.4245210347  1.3332  0.39134
12.3653720122  1.3209  0.38948
12.306632044  1.3088  0.38757
12.2484475093  1.296  0.38582
12.190810567  1.2838  0.3809
12.133713523  1.2715  0.379
12.077294686  1.2582  0.37431
12.0212535763  1.2463  0.36622
11.9657301489  1.2356  0.36086
11.9107172634  1.224  0.35571
11.8562079105  1.2124  0.34749
11.8023345018  1.202  0.33901
11.7488104329  1.1922  0.33039
11.6957696401  1.183  0.32165
11.6432056074  1.174  0.31286
11.5912462908  1.1648  0.30412
11.5396155  1.1567  0.29221
11.4884426267  1.1491  0.2832
11.4377216059  1.1416  0.27122
11.387446479  1.1358  0.25903
11.337611392  1.1296  0.24989
11.288338018  1.1245  0.23481
11.2393647511  1.1201  0.22553
11.1908145794  1.116  0.21053
11.1426820436  1.1139  0.19832
11.0950848774  1.1122  0.1862
