hudgins1993
120
pe
wavel  n  k
19.9968005119  1.4912  0.00035
19.8436321784  1.4927  0.00033
19.692792438  1.496  0.0
19.5446105736  1.502  0.0
19.398265795  1.5045  0.0069462
19.254096309  1.5013  0.010304
19.1120539724  1.5024  0.00024068
18.9720920526  1.5066  0.0034775
18.8345199081  1.511  0.00013942
18.698578908  1.5148  0.0065368
18.5645861954  1.5165  0.0064597
18.4325001843  1.5204  0.0063439
18.3022804641  1.5224  0.012561
18.1742180543  1.5245  0.009297
18.0476095941  1.5286  0.012239
17.9227529349  1.5315  0.015158
17.7996119685  1.5334  0.018055
17.6781515725  1.536  0.017855
17.5586458772  1.5391  0.020648
17.4404408943  1.543  0.020381
17.3238167833  1.5467  0.02604
17.208742041  1.5489  0.028726
17.0951859956  1.5514  0.031359
16.9834072112  1.5539  0.03395
16.872795991  1.5562  0.036508
16.7636162473  1.5602  0.036086
16.6558403704  1.5649  0.041314
16.5497153449  1.5677  0.046558
16.4446637066  1.5706  0.04891
16.3409373162  1.5735  0.054019
16.2385112533  1.5766  0.056264
16.1373612187  1.5804  0.061198
16.0377207191  1.5835  0.066101
15.9390490763  1.5865  0.070948
15.8415841584  1.5895  0.075728
15.7453039631  1.5931  0.080405
15.6501870197  1.596  0.087771
15.5564543729  1.5988  0.092373
15.4635986887  1.6019  0.099571
15.3718449288  1.6042  0.10677
15.2811735941  1.6062  0.11393
15.1915656428  1.6079  0.12105
15.103230581  1.6096  0.12811
15.0156913975  1.6118  0.13505
14.9291611304  1.6136  0.14464
14.8436224376  1.6138  0.15436
14.7590583721  1.6141  0.16137
14.6756677429  1.6146  0.17095
14.5930011966  1.6143  0.18062
14.5112607383  1.6132  0.19034
14.4304308927  1.6116  0.20014
14.3504965272  1.609  0.21007
14.2716465199  1.6067  0.21726
14.1934568164  1.6049  0.22703
14.1161191965  1.6022  0.23694
14.0396198071  1.599  0.24694
13.9641400883  1.5951  0.25707
13.8892747021  1.5902  0.26738
13.8152077807  1.5859  0.27489
13.7419266181  1.5807  0.28805
13.6694187763  1.5743  0.296
13.5978569777  1.5682  0.30667
13.5268575757  1.5603  0.31776
13.4565957504  1.5516  0.32629
13.3870600677  1.5429  0.33487
13.3182393288  1.5334  0.34367
13.2502981317  1.5243  0.34961
13.1828728116  1.5153  0.35838
13.1161302169  1.5046  0.3676
13.0500600303  1.4928  0.37427
12.9848207445  1.4806  0.38108
12.9200635667  1.4687  0.38497
12.8559490904  1.4565  0.39188
12.792467795  1.4429  0.39627
12.7296103466  1.4302  0.3975
12.6675280586  1.4183  0.40152
12.6058894716  1.4048  0.40594
12.544847831  1.3906  0.40761
12.4843945069  1.3763  0.40933
12.4245210347  1.3626  0.4079
12.3653720122  1.3489  0.40949
12.306632044  1.3345  0.40824
12.2484475093  1.3199  0.40703
12.190810567  1.3062  0.40257
12.133713523  1.2926  0.40107
12.077294686  1.2786  0.39665
12.0212535763  1.2652  0.39206
11.9657301489  1.2514  0.38751
11.9107172634  1.2385  0.3797
11.8562079105  1.2259  0.37483
11.8023345018  1.2128  0.36699
11.7488104329  1.2  0.35906
11.6957696401  1.1887  0.34773
11.6432056074  1.1785  0.33917
11.5912462908  1.1674  0.33077
11.5396155  1.1566  0.3193
11.4884426267  1.1468  0.30759
11.4377216059  1.1374  0.29582
11.387446479  1.1296  0.28079
11.337611392  1.1234  0.26856
11.288338018  1.1167  0.25645
11.2393647511  1.1112  0.24128
11.1908145794  1.1064  0.22905
11.1426820436  1.1019  0.21396
11.0950848774  1.0991  0.19883
11.0477705599  1.0977  0.18375
11.0008580669  1.0978  0.16875
10.9543423013  1.0983  0.15673
10.9082182516  1.0993  0.14211
10.8625989854  1.1009  0.13043
10.8172426848  1.1029  0.11623
10.7722635757  1.1071  0.10226
10.7276569724  1.1121  0.091192
10.6834182665  1.1171  0.080363
10.6396561263  1.1227  0.069773
10.596138767  1.1292  0.059434
10.5529759392  1.1358  0.051806
10.5101633279  1.143  0.041944
10.4678062618  1.1504  0.037112
10.4256805363  1.1569  0.029997
10.3838925059  1.1645  0.023085
10.3424381264  1.1724  0.018647
10.3013134175  1.1801  0.014305
10.2606197414  1.1875  0.01228
10.2201418556  1.1937  0.010246
10.1799820832  1.1993  0.0082175
10.140136689  1.2057  0.0040863
10.1006019959  1.2118  0.0043298
10.061475616  1.217  0.0023868
10.0225507392  1.2228  0.0005061
9.9840255591  1.2284  0.00074029
9.9453008454  1.2331  0.00092798
9.9078569305  1.2372  0.0010892
9.8697197  1.241  0.0012302
9.8328416912  1.2444  0.0013517
9.7952786757  1.2472  0.0014485
9.7580015613  1.2505  0.0
9.721952168  1.2543  0.0
9.6852300242  1.2575  0.0
9.6497153334  1.2605  0.0
9.6135358585  1.2633  2.7597e-05
9.5785440613  1.2659  0.00012082
9.5428953144  1.2685  0.00020689
9.5075109336  1.2709  0.00028974
9.4732853354  1.2732  0.00036645
9.4384143464  1.2755  0.00043958
9.4046835324  1.2776  0.00050944
9.3703148426  1.2797  0.00057536
9.3361964336  1.2817  0.00063962
9.3031909945  1.2837  0.00070137
9.269558769  1.2857  0.00076187
9.2370219841  1.2879  0.00082719
9.2038656236  1.2891  0.0027013
9.1717875814  1.2904  0.0008949
9.1390970572  1.2927  0.00096446
9.1066387396  1.2939  0.002812
9.0752336873  1.2951  0.0010285
9.0432266233  1.2972  0.0010899
9.0122566691  1.2993  0.0011501
8.9806915132  1.3008  0.0029696
8.9501476774  1.3016  0.0029812
8.9190153407  1.3027  0.003
8.8880988357  1.3038  0.0030197
8.8581805297  1.3047  0.0030344
8.8276836158  1.3065  0.0013311
8.7981699806  1.3082  0.0031136
8.7680841736  1.3092  0.0031273
8.7382034254  1.3103  0.0031474
8.7092840968  1.3115  0.0031686
8.6798021005  1.3127  0.0031915
8.6512674107  1.314  0.0032142
8.6221762373  1.3153  0.0032415
