hudgins1993
10
pe
wavel  n  k
199.389867007  1.7329  0.0
192.0049153258  1.7322  0.0199
185.1474699598  1.7355  0.0
178.7629603146  1.7439  0.0172
172.8040920009  1.7426  0.0192
167.2296732332  1.7331  0.0363
162.0036612827  1.7325  0.0
157.0943823049  1.7486  0.0
152.4738888465  1.7683  0.0
148.1174274965  1.7844  0.0238
144.0050689784  1.7788  0.0585
140.1129310224  1.7654  0.0595
136.4256480218  1.7653  0.0477
132.9274614843  1.7651  0.0676
129.6041888074  1.7499  0.0754
126.4430310923  1.763  0.0205
123.4324084132  1.7712  0.0875
120.5618180722  1.7539  0.0709
117.8217121851  1.7558  0.054
115.2033915878  1.7704  0.0437
112.6989135825  1.7859  0.0597
110.3010114603  1.7773  0.0977
108.0030240847  1.7732  0.0608
105.7988340968  1.789  0.068
103.6828135368  1.7893  0.0936
101.6497758622  1.7951  0.0696
99.6909580301  1.805  0.099
97.8090766823  1.8095  0.0948
96.0061443932  1.8263  0.1049
94.2595909134  1.8051  0.1893
92.5754489909  1.7788  0.1286
90.9504320146  1.7909  0.1218
89.3814801573  1.8007  0.1298
87.8657411475  1.807  0.1376
86.4005529635  1.8099  0.1499
84.9834282315  1.816  0.1496
83.6190316916  1.8197  0.1715
82.2909809085  1.8215  0.1771
81.004455245  1.8213  0.1984
79.7575370873  1.8189  0.2052
78.5484251041  1.8174  0.2216
77.3754255648  1.8121  0.2367
76.2369444233  1.805  0.2491
75.1314800902  1.7939  0.2646
74.0576168259  1.7844  0.2634
73.0140186916  1.7767  0.2754
72.0046082949  1.768  0.2729
71.0176834032  1.7637  0.2801
70.0574471066  1.7569  0.285
69.1228312712  1.753  0.2842
68.2128240109  1.7483  0.2951
67.3264660338  1.7453  0.2916
66.4628472684  1.7411  0.3084
65.621103747  1.7352  0.3066
64.8004147227  1.7317  0.3181
64.0040962622  1.722  0.3256
63.2231143706  1.7179  0.3234
62.4609618988  1.712  0.3386
61.716965994  1.7026  0.3411
60.9904854843  1.6931  0.3485
60.2809090361  1.6843  0.3461
59.5876534382  1.6777  0.3492
58.9101620029  1.6723  0.3474
58.2479030755  1.6692  0.3497
57.6003686424  1.6648  0.357
56.9703184641  1.6596  0.3552
56.3507269244  1.6539  0.3683
55.7444673616  1.6511  0.3568
55.1511140525  1.6505  0.3754
54.5702592087  1.6425  0.3832
54.0015120423  1.6346  0.3897
53.4444978889  1.625  0.399
52.8988573847  1.6153  0.4016
52.364245693  1.6044  0.4111
51.8403317781  1.5937  0.4107
51.3294322965  1.583  0.4137
50.8259212198  1.5732  0.4186
50.3321924703  1.5639  0.4168
49.8479637107  1.5539  0.4251
49.3729633653  1.5427  0.424
48.906930112  1.5317  0.4293
48.4496124031  1.5212  0.427
48.0007680123  1.5095  0.4348
47.560163607  1.497  0.4332
47.1297954567  1.483  0.4353
46.7049647378  1.4693  0.4374
46.2877244955  1.4544  0.4345
45.8778731018  1.4392  0.4339
45.4752160073  1.4239  0.428
45.079565433  1.4086  0.4243
44.6907400787  1.3928  0.4153
44.3085648456  1.3812  0.401
43.9328705738  1.3716  0.3937
43.5634937922  1.362  0.3832
43.2002764818  1.3532  0.3758
42.8449014567  1.3443  0.361
42.4935197382  1.3399  0.3537
42.1478546742  1.3318  0.3485
41.8077678833  1.3245  0.3347
41.4731254147  1.3192  0.3269
41.1437975725  1.3134  0.3172
40.8196587477  1.3072  0.3087
40.5005872585  1.3026  0.2948
40.1864651985  1.3004  0.2856
39.8787685436  1.2955  0.2772
39.5741818038  1.2935  0.2642
39.274212552  1.2918  0.2564
38.9787565777  1.2913  0.2434
38.6877127824  1.2912  0.2385
38.4009830652  1.2895  0.23
38.1184722116  1.2883  0.2216
37.840087789  1.2875  0.2132
37.5657400451  1.2878  0.2048
37.2967328062  1.2862  0.1987
37.0301795964  1.2869  0.1877
36.7674093683  1.2867  0.1844
