hudgins1993
140
pe
wavel  n  k
24.3385985835  1.4543  0.016546
24.2248062016  1.4557  0.016193
24.112654321  1.4576  0.016355
24.0009600384  1.4592  0.01755
23.8902957619  1.4611  0.017188
23.7806473092  1.4628  0.018877
23.6720007575  1.4647  0.018
23.564342437  1.4667  0.020164
23.4576589256  1.4684  0.020299
23.3519370432  1.4701  0.021929
23.247163846  1.4715  0.023052
23.1433266218  1.4729  0.023666
23.0404128842  1.4743  0.025259
22.9389365509  1.4754  0.025864
22.8378285793  1.4765  0.027479
22.7376080036  1.4774  0.027542
22.6382631924  1.4786  0.028119
22.5397827165  1.48  0.02869
22.4421553446  1.4814  0.029249
22.3453700393  1.4826  0.030288
22.2494159528  1.4841  0.029882
22.1542824228  1.486  0.031358
22.060445621  1.4875  0.031886
21.9669178218  1.4885  0.034805
21.8741797183  1.4893  0.033939
21.7822213509  1.4911  0.034437
21.691032927  1.4926  0.036323
21.6006048169  1.4936  0.03729
21.5109275512  1.4947  0.038244
21.4219918168  1.4956  0.039194
21.3337884542  1.4969  0.039219
21.2463084539  1.4982  0.04059
21.1599906896  1.4994  0.040611
21.0739273371  1.5009  0.041957
20.9885612341  1.5024  0.041954
20.9038839416  1.5041  0.043272
20.8198871562  1.5056  0.044142
20.7365627074  1.5073  0.044996
20.6539025549  1.509  0.046277
20.5718987863  1.5109  0.047107
20.4905436141  1.5127  0.049225
20.4102459435  1.5142  0.050044
20.3301618281  1.516  0.052127
20.250703712  1.5177  0.053376
20.1718642837  1.5193  0.055859
20.0936363454  1.521  0.057044
20.0160128102  1.5228  0.059903
19.9389867007  1.524  0.062342
19.8625511461  1.5254  0.064372
19.7866993807  1.527  0.067168
19.7118132897  1.5277  0.070832
19.637106276  1.5282  0.074103
19.5629633977  1.5282  0.076929
19.4893782888  1.5282  0.079741
19.416344679  1.5278  0.082975
19.3438563912  1.5274  0.084994
19.2719073407  1.5266  0.088639
19.2004915326  1.5254  0.090244
19.1296030607  1.5245  0.092225
19.0592361058  1.5232  0.095082
18.9897455374  1.5213  0.095492
18.9204018693  1.5201  0.097066
18.8515627946  1.5196  0.095837
18.7832228254  1.5188  0.09953
18.7153765534  1.5169  0.099423
18.648018648  1.5165  0.097921
18.5811438552  1.5164  0.099555
18.514746996  1.5158  0.099546
18.4488229651  1.5158  0.099688
18.3837046842  1.5157  0.09964
18.3187088974  1.5161  0.10121
18.2541710781  1.5155  0.10265
18.1900864029  1.5145  0.10287
18.126450116  1.5146  0.10115
18.0632575279  1.515  0.10289
18.0005040141  1.515  0.10264
17.9381850144  1.5155  0.10253
17.8762960315  1.516  0.10386
17.8148326296  1.5165  0.10395
17.7537904343  1.5163  0.10689
17.6934781839  1.5152  0.1053
17.6332633881  1.5159  0.10536
17.5734570505  1.5165  0.10505
17.5140550292  1.5179  0.10506
17.4550532379  1.5181  0.10833
17.3964476454  1.5181  0.10667
17.3382342742  1.5189  0.10811
17.2804092001  1.5196  0.10797
17.2229685509  1.5204  0.10957
17.1662031792  1.5204  0.10987
17.1095180249  1.521  0.1111
17.0532060027  1.5211  0.11137
16.9972634406  1.5218  0.11124
16.9416867143  1.5229  0.11142
16.8864722471  1.5239  0.11297
16.8316165084  1.524  0.1144
16.7771160138  1.5247  0.11308
16.7229673233  1.5262  0.11455
16.6694449075  1.5268  0.11495
16.6159879036  1.5282  0.11606
16.5628726646  1.5289  0.11758
16.5100959237  1.5296  0.11813
16.4576544551  1.5308  0.11827
16.4055450742  1.5323  0.1197
16.3537646366  1.5333  0.1217
16.3023100373  1.5333  0.12359
16.2511782104  1.5341  0.12245
16.2003661283  1.5361  0.12361
16.1501316236  1.5369  0.12559
16.0999484802  1.5379  0.127
16.0500762379  1.5391  0.12728
16.0005120164  1.5406  0.12916
15.9512529709  1.5418  0.13053
15.9022962916  1.5427  0.13244
15.8536392029  1.5439  0.13304
15.8052789632  1.5452  0.13489
15.7572128642  1.5474  0.1352
15.7096850208  1.5485  0.13865
15.6621977196  1.5501  0.13955
15.6149966428  1.552  0.1418
15.5680792104  1.554  0.14403
15.5214428733  1.5554  0.14823
15.475085113  1.5562  0.15106
15.4290034407  1.5568  0.15444
15.3831953973  1.5571  0.15765
15.337658553  1.557  0.16089
15.2923905065  1.5571  0.16342
15.2476213711  1.5557  0.16686
15.2028824665  1.5548  0.16814
15.1584053358  1.5544  0.16834
15.114187688  1.5549  0.16882
15.070227259  1.556  0.16971
15.026521811  1.5578  0.1703
14.9830691319  1.559  0.17425
14.9398670352  1.5598  0.17472
14.8969133596  1.5618  0.17625
14.8542059684  1.5637  0.17985
14.8119621406  1.5644  0.18171
14.7697397572  1.565  0.18559
14.7277574044  1.5892  0.1857
14.6963729352  1.5488  0.19382
14.6548060436  1.5708  0.1926
14.6134736227  1.572  0.19705
14.572373694  1.5734  0.20142
14.531715469  1.5733  0.20603
14.4910734987  1.5736  0.21053
14.4506582275  1.5741  0.21226
14.4104677638  1.5758  0.21655
14.3705002371  1.5756  0.22385
14.3307537976  1.575  0.22574
14.291226616  1.5755  0.23017
14.2519168828  1.5756  0.23467
14.2128228087  1.5754  0.2392
14.1739426239  1.5756  0.24362
