hudgins1993
40
pe
wavel  n  k
19.9968005119  1.5489  0.03695
19.8436321784  1.5473  0.029924
19.692792438  1.545  0.03315
19.5446105736  1.5449  0.036257
19.398265795  1.5439  0.042698
19.254096309  1.5419  0.04581
19.1120539724  1.5398  0.045546
18.9720920526  1.5403  0.045183
18.8345199081  1.5409  0.048087
18.698578908  1.5414  0.047714
18.5645861954  1.5437  0.047259
18.4325001843  1.5465  0.049971
18.3022804641  1.5486  0.052671
18.1742180543  1.5505  0.055339
18.0476095941  1.5524  0.057973
17.9227529349  1.5543  0.060558
17.7996119685  1.5567  0.06308
17.6781515725  1.5579  0.068705
17.5586458772  1.5596  0.068125
17.4404408943  1.562  0.073556
17.3238167833  1.5634  0.075971
17.208742041  1.566  0.078271
17.0951859956  1.5682  0.083541
16.9834072112  1.5703  0.08578
16.872795991  1.573  0.090894
16.7636162473  1.5745  0.096029
16.6558403704  1.5771  0.098099
16.5497153449  1.5796  0.10595
16.4446637066  1.5805  0.11096
16.3409373162  1.5818  0.11588
16.2385112533  1.5833  0.12073
16.1373612187  1.5856  0.12546
16.0377207191  1.5876  0.13299
15.9390490763  1.5885  0.14059
15.8415841584  1.5882  0.14826
15.7453039631  1.5883  0.153
15.6501870197  1.589  0.16045
15.5564543729  1.5889  0.16795
15.4635986887  1.5883  0.17547
15.3718449288  1.5874  0.18299
15.2811735941  1.5862  0.19051
15.1915656428  1.5847  0.19804
15.103230581  1.583  0.20557
15.0156913975  1.5814  0.21305
14.9291611304  1.5783  0.22358
14.8436224376  1.5753  0.22842
14.7590583721  1.5723  0.23889
14.6756677429  1.5674  0.24686
14.5930011966  1.5636  0.25179
14.5112607383  1.5592  0.26251
14.4304308927  1.5538  0.2677
14.3504965272  1.5492  0.27562
14.2716465199  1.5433  0.28379
14.1934568164  1.5375  0.28906
14.1161191965  1.532  0.29716
14.0396198071  1.5248  0.30564
13.9641400883  1.5169  0.31136
13.8892747021  1.5095  0.31702
13.8152077807  1.502  0.3227
13.7419266181  1.4943  0.32843
13.6694187763  1.4863  0.33425
13.5978569777  1.4778  0.34021
13.5268575757  1.468  0.34646
13.4565957504  1.4579  0.34989
13.3870600677  1.4483  0.3532
13.3182393288  1.4388  0.35651
13.2502981317  1.4289  0.3599
13.1828728116  1.4184  0.36347
