hudgins1993
100
pe
wavel  n  k
199.389867007  1.6603  -0.04408
192.0049153258  1.6976  -0.12091
185.1474699598  1.7437  -0.050438
178.7629603146  1.743  0.0
172.8040920009  1.7351  0.0
167.2296732332  1.7431  -0.045701
162.0036612827  1.7546  0.0
157.0943823049  1.7601  -0.028799
152.4738888465  1.7711  0.0
148.1174274965  1.7777  0.0
144.0050689784  1.7802  0.0024422
140.1129310224  1.78  0.01217
136.4256480218  1.7818  0.011958
132.9274614843  1.7882  0.018476
129.6041888074  1.7887  0.040841
126.4430310923  1.7674  0.069854
123.4324084132  1.7536  0.026603
120.5618180722  1.7683  0.0085156
117.8217121851  1.7806  0.02277
115.2033915878  1.7855  0.024117
112.6989135825  1.7953  0.023468
110.3010114603  1.7931  0.054011
108.0030240847  1.7852  0.036029
105.7988340968  1.8027  0.008795
103.6828135368  1.8176  0.042448
101.6497758622  1.8235  0.036228
99.6909580301  1.8305  0.055775
97.8090766823  1.8363  0.052853
96.0061443932  1.8458  0.066147
94.2595909134  1.8472  0.085858
92.5754489909  1.8512  0.080967
90.9504320146  1.8559  0.10413
89.3814801573  1.8496  0.11649
87.8657411475  1.8525  0.10065
86.4005529635  1.8602  0.11617
84.9834282315  1.881  0.093929
83.6190316916  1.8974  0.15178
82.2909809085  1.8921  0.17217
81.004455245  1.8864  0.19078
79.7575370873  1.8829  0.20053
78.5484251041  1.8804  0.21937
77.3754255648  1.8746  0.23692
76.2369444233  1.8659  0.25457
75.1314800902  1.854  0.26986
74.0576168259  1.8427  0.27702
73.0140186916  1.8297  0.29224
72.0046082949  1.8152  0.28936
71.0176834032  1.8113  0.286
70.0574471066  1.8073  0.29808
69.1228312712  1.7999  0.30427
68.2128240109  1.791  0.3132
67.3264660338  1.7853  0.31015
66.4628472684  1.7764  0.32882
65.621103747  1.7672  0.31908
64.8004147227  1.7645  0.32655
64.0040962622  1.7564  0.3326
63.2231143706  1.7509  0.3344
62.4609618988  1.7432  0.34264
61.716965994  1.7351  0.34139
60.9904854843  1.7285  0.34348
60.2809090361  1.7244  0.33915
59.5876534382  1.7229  0.34135
58.9101620029  1.7211  0.34349
58.2479030755  1.7213  0.34414
57.6003686424  1.7208  0.35383
56.9703184641  1.7204  0.35113
56.3507269244  1.7263  0.36242
55.7444673616  1.7189  0.39293
55.1511140525  1.7079  0.38809
54.5702592087  1.7045  0.39563
54.0015120423  1.6997  0.40558
53.4444978889  1.6927  0.41598
52.8988573847  1.6868  0.4217
52.364245693  1.6771  0.44013
51.8403317781  1.6671  0.44061
51.3294322965  1.6563  0.45193
50.8259212198  1.6473  0.45526
50.3321924703  1.64  0.46136
49.8479637107  1.6311  0.4731
49.3729633653  1.6205  0.48119
48.906930112  1.6095  0.49152
48.4496124031  1.5965  0.5024
48.0007680123  1.5813  0.51312
47.560163607  1.5664  0.52066
47.1297954567  1.5471  0.53197
46.7049647378  1.5274  0.54137
46.2877244955  1.5045  0.5479
45.8778731018  1.4782  0.55586
45.4752160073  1.4488  0.55443
45.079565433  1.4234  0.54288
44.6907400787  1.3988  0.5409
44.3085648456  1.3729  0.52726
43.9328705738  1.3506  0.51125
43.5634937922  1.3324  0.49135
43.2002764818  1.3175  0.47592
42.8449014567  1.3039  0.45228
42.4935197382  1.2958  0.43911
42.1478546742  1.2864  0.42201
41.8077678833  1.2794  0.40547
41.4731254147  1.273  0.39217
41.1437975725  1.2674  0.37652
40.8196587477  1.2617  0.36546
40.5005872585  1.2571  0.34782
40.1864651985  1.2552  0.33605
