wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    1.00
0.44  0.72513E-07  0.48764E+00
azim,phase
0.000,18.69171
1.000,18.35134
2.000,17.36149
3.000,15.81200
4.000,13.83963
5.000,11.61086
7.500,6.04030
10.000,2.06806
12.500,0.31753
15.000,0.05432
17.500,0.20726
20.000,0.20984
25.000,0.01628
30.000,0.08412
35.000,0.01468
40.000,0.02853
50.000,0.00336
60.000,0.00600
70.000,0.00924
80.000,0.00535
90.000,0.00216
100.000,0.00211
110.000,0.00224
120.000,0.00217
130.000,0.00139
140.000,0.00172
145.000,0.00136
150.000,0.00151
155.000,0.00227
160.000,0.00151
162.500,0.00117
165.000,0.00130
167.500,0.00169
170.000,0.00197
172.500,0.00214
175.000,0.00244
176.000,0.00260
177.000,0.00277
178.000,0.00292
179.000,0.00302
180.000,0.00305
