wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    0.10
0.44  0.18447E-09  0.41975E+00
azim,phase
0.000,0.26987
1.000,0.26980
2.000,0.26958
3.000,0.26922
4.000,0.26871
5.000,0.26806
7.500,0.26580
10.000,0.26268
12.500,0.25873
15.000,0.25399
17.500,0.24851
20.000,0.24236
25.000,0.22828
30.000,0.21233
35.000,0.19511
40.000,0.17724
50.000,0.14177
60.000,0.10968
70.000,0.08323
80.000,0.06314
90.000,0.04899
100.000,0.03966
110.000,0.03384
120.000,0.03033
130.000,0.02824
140.000,0.02698
145.000,0.02654
150.000,0.02619
155.000,0.02592
160.000,0.02570
162.500,0.02562
165.000,0.02554
167.500,0.02548
170.000,0.02543
172.500,0.02539
175.000,0.02536
176.000,0.02535
177.000,0.02535
178.000,0.02534
179.000,0.02534
180.000,0.02534
