wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =   10.00
0.44  0.65023E-05  0.52965E+00
azim,phase
0.000,1111.28088
1.000,164.73734
2.000,19.47401
3.000,2.11467
4.000,0.11656
5.000,0.57694
7.500,0.18282
10.000,0.08729
12.500,0.05273
15.000,0.03673
17.500,0.02792
20.000,0.02239
25.000,0.01576
30.000,0.01180
35.000,0.00911
40.000,0.00716
50.000,0.00455
60.000,0.00305
70.000,0.00221
80.000,0.00171
90.000,0.00141
100.000,0.00124
110.000,0.00114
120.000,0.00108
130.000,0.00105
140.000,0.00104
145.000,0.00103
150.000,0.00103
155.000,0.00103
160.000,0.00103
162.500,0.00103
165.000,0.00103
167.500,0.00103
170.000,0.00103
172.500,0.00103
175.000,0.00103
176.000,0.00103
177.000,0.00103
178.000,0.00103
179.000,0.00103
180.000,0.00103
