wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    3.00
0.44  0.60898E-06  0.51496E+00
azim,phase
0.000,147.80254
1.000,126.83034
2.000,78.10413
3.000,31.09514
4.000,5.55009
5.000,0.11823
7.500,1.66761
10.000,0.39510
12.500,0.12065
15.000,0.23778
17.500,0.03486
20.000,0.07810
25.000,0.02031
30.000,0.01603
35.000,0.01743
40.000,0.01326
50.000,0.00596
60.000,0.00448
70.000,0.00314
80.000,0.00230
90.000,0.00190
100.000,0.00168
110.000,0.00155
120.000,0.00147
130.000,0.00143
140.000,0.00141
145.000,0.00140
150.000,0.00140
155.000,0.00140
160.000,0.00140
162.500,0.00140
165.000,0.00140
167.500,0.00140
170.000,0.00140
172.500,0.00140
175.000,0.00140
176.000,0.00140
177.000,0.00140
178.000,0.00140
179.000,0.00140
180.000,0.00140
