wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    0.30
0.44  0.74290E-08  0.66492E+00
azim,phase
0.000,1.70579
1.000,1.70314
2.000,1.69521
3.000,1.68206
4.000,1.66382
5.000,1.64061
7.500,1.56227
10.000,1.45820
12.500,1.33348
15.000,1.19398
17.500,1.04590
20.000,0.89540
25.000,0.60920
30.000,0.37040
35.000,0.19658
40.000,0.08801
50.000,0.01261
60.000,0.01530
70.000,0.01816
80.000,0.01090
90.000,0.00424
100.000,0.00226
110.000,0.00280
120.000,0.00354
130.000,0.00344
140.000,0.00241
145.000,0.00172
150.000,0.00109
155.000,0.00062
160.000,0.00036
162.500,0.00032
165.000,0.00032
167.500,0.00035
170.000,0.00040
172.500,0.00046
175.000,0.00051
176.000,0.00052
177.000,0.00054
178.000,0.00055
179.000,0.00055
180.000,0.00055
