Wavelength (microns) 	 real  imaginary
2.49766e+00   1.23343e+00   3.81000e-03
2.49842e+00   1.23276e+00   3.92000e-03
2.49902e+00   1.23232e+00   4.03000e-03
2.49962e+00   1.23205e+00   4.16000e-03
2.50022e+00   1.23202e+00   4.34000e-03
2.50083e+00   1.23221e+00   4.54000e-03
2.50143e+00   1.23251e+00   4.72000e-03
2.50204e+00   1.23277e+00   4.83000e-03
2.50264e+00   1.23287e+00   4.80000e-03
2.50324e+00   1.23279e+00   4.70000e-03
2.50385e+00   1.23276e+00   4.80000e-03
2.50445e+00   1.23288e+00   5.11000e-03
2.50506e+00   1.23300e+00   5.07000e-03
2.50567e+00   1.23298e+00   4.55000e-03
2.50627e+00   1.23288e+00   4.20000e-03
2.50688e+00   1.23274e+00   4.38000e-03
2.50749e+00   1.23265e+00   4.63000e-03
2.50809e+00   1.23265e+00   4.62000e-03
2.50870e+00   1.23272e+00   4.48000e-03
2.50931e+00   1.23276e+00   4.29000e-03
2.50991e+00   1.23258e+00   3.99000e-03
2.51052e+00   1.23217e+00   3.67000e-03
2.51113e+00   1.23179e+00   3.74000e-03
2.51174e+00   1.23164e+00   4.32000e-03
2.51235e+00   1.23174e+00   4.85000e-03
2.51296e+00   1.23200e+00   4.95000e-03
2.51357e+00   1.23224e+00   4.68000e-03
2.51418e+00   1.23234e+00   4.22000e-03
2.51479e+00   1.23226e+00   3.93000e-03
2.51540e+00   1.23207e+00   3.92000e-03
2.51601e+00   1.23191e+00   3.95000e-03
2.51662e+00   1.23187e+00   3.86000e-03
2.51723e+00   1.23186e+00   3.74000e-03
2.51784e+00   1.23180e+00   3.62000e-03
2.51846e+00   1.23163e+00   3.37000e-03
2.51907e+00   1.23136e+00   3.04000e-03
2.51968e+00   1.23110e+00   2.97000e-03
2.52029e+00   1.23094e+00   3.24000e-03
2.52091e+00   1.23095e+00   3.44000e-03
2.52152e+00   1.23106e+00   3.28000e-03
2.52213e+00   1.23105e+00   2.79000e-03
2.52275e+00   1.23075e+00   2.13000e-03
2.52336e+00   1.23013e+00   1.63000e-03
2.52398e+00   1.22927e+00   1.54000e-03
2.52459e+00   1.22850e+00   1.93000e-03
2.52521e+00   1.22803e+00   2.69000e-03
2.52582e+00   1.22794e+00   3.47000e-03
2.52644e+00   1.22819e+00   4.01000e-03
2.52705e+00   1.22860e+00   4.19000e-03
2.52767e+00   1.22898e+00   3.98000e-03
2.52829e+00   1.22908e+00   3.49000e-03
2.52890e+00   1.22882e+00   2.93000e-03
