wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    0.44
0.44  0.18299E-07  0.64782E+00
azim,phase
0.000,3.62807
1.000,3.61545
2.000,3.57779
3.000,3.51577
4.000,3.43050
5.000,3.32347
7.500,2.97375
10.000,2.53721
12.500,2.05702
15.000,1.57662
17.500,1.13398
20.000,0.75716
25.000,0.25201
30.000,0.05158
35.000,0.03212
40.000,0.06195
50.000,0.04882
60.000,0.00738
70.000,0.00969
80.000,0.00857
90.000,0.00286
100.000,0.00278
110.000,0.00295
120.000,0.00210
130.000,0.00142
140.000,0.00206
145.000,0.00269
150.000,0.00300
155.000,0.00272
160.000,0.00197
162.500,0.00154
165.000,0.00114
167.500,0.00082
170.000,0.00058
172.500,0.00042
175.000,0.00033
176.000,0.00031
177.000,0.00030
178.000,0.00029
179.000,0.00028
180.000,0.00028
