mastrapa2008Ic
130
ne
Wavelength (microns) 	 real  imaginary
1.1253144e+00  1.3124872e+00  1.0675153e-08
1.1254365e+00  1.3124855e+00  4.9520160e-08
1.1255589e+00  1.3124835e+00  7.1706928e-08
1.1256810e+00  1.3124818e+00  1.0678632e-08
1.1258034e+00  1.3124799e+00  1.0679792e-08
1.1259257e+00  1.3124781e+00  1.0680952e-08
1.1260480e+00  1.3124762e+00  1.0682113e-08
1.1261704e+00  1.3124743e+00  1.0683274e-08
1.1262928e+00  1.3124725e+00  1.0684435e-08
1.1264153e+00  1.3124706e+00  1.0685596e-08
1.1265377e+00  1.3124686e+00  1.0686758e-08
1.1266602e+00  1.3124667e+00  1.0687920e-08
1.1267827e+00  1.3124650e+00  7.1909206e-08
1.1269052e+00  1.3124632e+00  4.5064019e-07
1.1270278e+00  1.3124614e+00  1.0691407e-08
1.1271504e+00  1.3124595e+00  1.0692570e-08
1.1272730e+00  1.3124576e+00  5.3997159e-08
1.1273956e+00  1.3124557e+00  1.0694897e-08
1.1275183e+00  1.3124539e+00  1.0696060e-08
1.1276410e+00  1.3124520e+00  1.0697224e-08
1.1277637e+00  1.3124501e+00  7.0111909e-08
1.1278864e+00  1.3124481e+00  1.0699553e-08
1.1280092e+00  1.3124464e+00  1.0700717e-08
1.1281320e+00  1.3124444e+00  1.0701882e-08
1.1282548e+00  1.3124425e+00  1.0703048e-08
1.1283777e+00  1.3124408e+00  1.0704213e-08
1.1285006e+00  1.3124388e+00  1.0705379e-08
1.1286235e+00  1.3124371e+00  1.0706545e-08
1.1287464e+00  1.3124352e+00  1.0707711e-08
1.1288694e+00  1.3124332e+00  6.9411946e-08
1.1289924e+00  1.3124313e+00  1.0710044e-08
1.1291153e+00  1.3124294e+00  1.0711211e-08
1.1292384e+00  1.3124275e+00  1.0712378e-08
1.1293615e+00  1.3124256e+00  3.2397061e-08
1.1294847e+00  1.3124238e+00  2.6786822e-07
1.1296077e+00  1.3124220e+00  1.9870974e-07
1.1297309e+00  1.3124201e+00  1.0717050e-08
1.1298540e+00  1.3124181e+00  1.0718218e-08
1.1299772e+00  1.3124161e+00  3.3199047e-08
1.1301005e+00  1.3124144e+00  6.3251497e-07
1.1302238e+00  1.3124129e+00  3.9270472e-07
1.1303470e+00  1.3124110e+00  1.0722895e-08
1.1304703e+00  1.3124089e+00  1.0724064e-08
1.1305937e+00  1.3124070e+00  1.0725234e-08
1.1307170e+00  1.3124051e+00  1.0726405e-08
1.1308404e+00  1.3124032e+00  1.0727575e-08
1.1309638e+00  1.3124013e+00  1.0728746e-08
1.1310873e+00  1.3123994e+00  1.0729917e-08
1.1312107e+00  1.3123975e+00  1.0731088e-08
1.1313342e+00  1.3123956e+00  1.0732260e-08
1.1314578e+00  1.3123937e+00  1.0733432e-08
1.1315813e+00  1.3123918e+00  1.0734604e-08
1.1317049e+00  1.3123899e+00  1.0735776e-08
1.1318285e+00  1.3123879e+00  1.0736949e-08
1.1319520e+00  1.3123862e+00  1.0738122e-08
1.1320758e+00  1.3123842e+00  1.0739295e-08
1.1321995e+00  1.3123823e+00  1.0740468e-08
1.1323231e+00  1.3123804e+00  1.0741642e-08
1.1324469e+00  1.3123785e+00  1.0742815e-08
1.1325707e+00  1.3123766e+00  1.0743990e-08
1.1326945e+00  1.3123747e+00  1.0745164e-08
1.1328183e+00  1.3123728e+00  1.0746339e-08
1.1329422e+00  1.3123709e+00  1.0747513e-08
1.1330661e+00  1.3123690e+00  1.0748689e-08
1.1331900e+00  1.3123671e+00  1.0749864e-08
1.1333139e+00  1.3123652e+00  1.0751040e-08
1.1334379e+00  1.3123633e+00  1.0752216e-08
1.1335618e+00  1.3123614e+00  1.0753392e-08
1.1336858e+00  1.3123595e+00  1.0754568e-08
1.1338099e+00  1.3123575e+00  1.0755745e-08
1.1339340e+00  1.3123558e+00  1.0756922e-08
1.1340580e+00  1.3123538e+00  1.0758099e-08
1.1341822e+00  1.3123519e+00  1.0759276e-08
1.1343063e+00  1.3123500e+00  1.0760454e-08
1.1344305e+00  1.3123480e+00  1.0761632e-08
1.1345547e+00  1.3123461e+00  1.0762810e-08
1.1346788e+00  1.3123442e+00  1.0763989e-08
1.1348032e+00  1.3123423e+00  1.0765168e-08
1.1349275e+00  1.3123404e+00  1.0766347e-08
1.1350518e+00  1.3123385e+00  1.0767526e-08
1.1351761e+00  1.3123366e+00  1.0768705e-08
1.1353005e+00  1.3123347e+00  1.0769885e-08
1.1354249e+00  1.3123327e+00  1.0771065e-08
1.1355493e+00  1.3123308e+00  1.0772245e-08
1.1356736e+00  1.3123289e+00  1.0773426e-08
1.1357982e+00  1.3123270e+00  1.0774607e-08
1.1359227e+00  1.3123251e+00  1.0775788e-08
1.1360472e+00  1.3123231e+00  1.0776969e-08
1.1361718e+00  1.3123212e+00  1.0778151e-08
1.1362964e+00  1.3123193e+00  1.0779333e-08
1.1364210e+00  1.3123174e+00  1.0780515e-08
1.1365457e+00  1.3123153e+00  1.0781697e-08
1.1366704e+00  1.3123136e+00  1.0782880e-08
1.1367950e+00  1.3123116e+00  1.0784063e-08
1.1369197e+00  1.3123097e+00  1.0785246e-08
1.1370445e+00  1.3123077e+00  1.0786429e-08
1.1371692e+00  1.3123058e+00  1.0787613e-08
1.1372941e+00  1.3123039e+00  1.0788797e-08
1.1374189e+00  1.3123020e+00  1.0789981e-08
1.1375437e+00  1.3123000e+00  1.0791166e-08
1.1376686e+00  1.3122981e+00  1.0792350e-08
1.1377935e+00  1.3122962e+00  1.0793535e-08
1.1379185e+00  1.3122942e+00  1.0794720e-08
1.1380434e+00  1.3122923e+00  1.0795906e-08
1.1381685e+00  1.3122904e+00  1.0797092e-08
1.1382935e+00  1.3122884e+00  1.0798278e-08
1.1384186e+00  1.3122865e+00  1.0799464e-08
1.1385436e+00  1.3122846e+00  1.0800650e-08
1.1386687e+00  1.3122826e+00  1.0801837e-08
1.1387938e+00  1.3122807e+00  1.0803024e-08
1.1389190e+00  1.3122787e+00  1.0804212e-08
1.1390442e+00  1.3122768e+00  1.0805399e-08
1.1391695e+00  1.3122749e+00  1.0806587e-08
1.1392946e+00  1.3122729e+00  1.0807775e-08
1.1394199e+00  1.3122710e+00  1.0808963e-08
