wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    0.44
0.44  0.18444E-07  0.66313E+00
azim,phase
0.000,3.59082
1.000,3.57846
2.000,3.54158
3.000,3.48084
4.000,3.39731
5.000,3.29245
7.500,2.94961
10.000,2.52122
12.500,2.04930
15.000,1.57623
17.500,1.13917
20.000,0.76576
25.000,0.26118
30.000,0.05619
35.000,0.03199
40.000,0.05982
50.000,0.04868
60.000,0.00769
70.000,0.00920
80.000,0.00851
90.000,0.00290
100.000,0.00265
110.000,0.00299
120.000,0.00213
130.000,0.00132
140.000,0.00203
145.000,0.00271
150.000,0.00305
155.000,0.00278
160.000,0.00201
162.500,0.00157
165.000,0.00117
167.500,0.00083
170.000,0.00059
172.500,0.00043
175.000,0.00034
176.000,0.00032
177.000,0.00031
178.000,0.00030
179.000,0.00029
180.000,0.00029
