wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    1.00
0.44  0.72150E-07  0.48755E+00
azim,phase
0.000,18.61806
1.000,18.27668
2.000,17.28415
3.000,15.73110
4.000,13.75548
5.000,11.52509
7.500,5.96419
10.000,2.02277
12.500,0.30874
15.000,0.06622
17.500,0.21681
20.000,0.20626
25.000,0.01302
30.000,0.09633
35.000,0.01624
40.000,0.03133
50.000,0.00355
60.000,0.00716
70.000,0.01024
80.000,0.00555
90.000,0.00215
100.000,0.00221
110.000,0.00238
120.000,0.00224
130.000,0.00134
140.000,0.00188
145.000,0.00148
150.000,0.00144
155.000,0.00235
160.000,0.00148
162.500,0.00111
165.000,0.00132
167.500,0.00180
170.000,0.00213
172.500,0.00231
175.000,0.00267
176.000,0.00288
177.000,0.00310
178.000,0.00329
179.000,0.00342
180.000,0.00346
