wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    3.00
0.44  0.60912E-06  0.51406E+00
azim,phase
0.000,148.10910
1.000,127.08668
2.000,78.24747
3.000,31.13807
4.000,5.54898
5.000,0.11682
7.500,1.67075
10.000,0.39454
12.500,0.11985
15.000,0.23725
17.500,0.03464
20.000,0.07788
25.000,0.02005
30.000,0.01571
35.000,0.01703
40.000,0.01282
50.000,0.00570
60.000,0.00444
70.000,0.00310
80.000,0.00222
90.000,0.00182
100.000,0.00161
110.000,0.00149
120.000,0.00141
130.000,0.00137
140.000,0.00135
145.000,0.00135
150.000,0.00134
155.000,0.00134
160.000,0.00134
162.500,0.00134
165.000,0.00134
167.500,0.00134
170.000,0.00134
172.500,0.00134
175.000,0.00134
176.000,0.00134
177.000,0.00134
178.000,0.00134
179.000,0.00134
180.000,0.00134
