wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    0.10
0.44  0.17359E-09  0.42748E+00
azim,phase
0.000,0.26888
1.000,0.26881
2.000,0.26859
3.000,0.26823
4.000,0.26772
5.000,0.26707
7.500,0.26482
10.000,0.26171
12.500,0.25778
15.000,0.25306
17.500,0.24760
20.000,0.24148
25.000,0.22746
30.000,0.21158
35.000,0.19443
40.000,0.17664
50.000,0.14134
60.000,0.10940
70.000,0.08309
80.000,0.06314
90.000,0.04911
100.000,0.03987
110.000,0.03412
120.000,0.03068
130.000,0.02865
140.000,0.02742
145.000,0.02700
150.000,0.02666
155.000,0.02639
160.000,0.02618
162.500,0.02610
165.000,0.02603
167.500,0.02597
170.000,0.02592
172.500,0.02588
175.000,0.02585
176.000,0.02584
177.000,0.02584
178.000,0.02583
179.000,0.02583
180.000,0.02583
